Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
85,227,282,241,56,865363,185,190,,,,51960000,,1480000000,,28,,1,85
86,206,285,244,57,94062,187,192,,,,20580000,,238820000,,,,1,86
87,71,288,247,5,41723,189,194,,,,15620000,,53990000,205,85,,1,87
88,58,292,251,113,2885000,192,197,,,,294860000,,10620000000,208,86,,1,88
89,235,294,254,32,1180000,194,200,,,,58990000,,319140000,,,,1,89
90,,,,,,,,,,,,,,,,,1,90
91,106,299,262,118,2461000,200,207,,,,317000000,,29560000000,217,87,,1,91
92,239,302,239,3,460367,202,209,,,,50450000,,814820000,,,,1,92
93,240,304,266,101,199003,204,212,,,,25500000,,404830000,,,,1,93
94,242,305,268,28,2307000,206,214,,,,306900000,,14990000000,224,89,,1,94
95,140,308,270,121,251304,208,168,,,,50340000,,643640000,,,,1,95
96,245,311,273,74,101675,210,217,,,,15070000,,683130000,,,,1,96
97,247,314,276,122,1662000,212,219,,,,206750000,,4650000000,231,96,,1,97
98,248,318,278,105,1822000,214,221,,,,,,,,,,1,98
99,255,322,281,126,82062,218,223,,,,11160000,,433000000,116,59,,1,99
100,112,324,285,127,1383000,220,225,,,,194720000,,7100000000,128,72,,1,100
