Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
24,83,72,75,35,2180952,53,55,52,97,68,62000000,258,2000000000,1,1,123,1,25
25,83,72,75,35,2180952,53,55,52,97,68,62000000,258,2000000000,1,1,123,1,25
26,85,74,77,36,83955,55,58,54,101,71,52000000,272,901000000,1,1,87,1,26
27,4,77,79,38,2300895,57,60,56,104,74,176000000,108,10000000000,1,1,98,1,27
28,63,84,82,42,125593,61,62,58,109,77,15000000,294,564000000,78,27,135,1,28
29,42,86,85,38,12028798,63,64,60,113,80,1670000000,305,97000000000,78,40,140,1,29
30,4,92,88,45,389494,65,66,62,117,84,75000000,,934000000,94,42,146,1,30
31,98,95,90,47,455658,67,69,64,120,87,45000000,,341000000,98,44,148,1,31
32,101,99,93,48,23886,69,71,66,124,92,16000000,327,331000000,104,47,26,1,32
33,29,103,97,50,87325,72,74,68,128,96,45000000,340,437000000,1,1,158,1,33
34,63,105,99,51,53950,75,76,70,131,98,18000000,,197000000,1,1,165,1,34
35,60,108,101,52,878187,77,79,72,135,102,168000000,357,7000000000,114,44,170,1,35
36,108,112,104,54,738890,79,81,74,140,108,192000000,374,38000000000,121,51,176,1,36
37,110,117,106,55,13396378,81,83,76,143,111,600000000,384,10000000000,1,1,22,1,37
38,6,122,109,58,1659407,83,86,79,148,113,188000000,407,15000000000,1,1,47,1,38
39,15,127,112,62,346893,87,88,81,152,118,40000000,423,1000000000,1,1,183,1,39
40,15,130,115,64,1401595,89,90,83,156,121,422000000,441,25000000000,74,55,188,1,40
41,123,133,117,66,491357,91,92,85,159,126,36000000,451,145000000,1,1,195,1,41
42,72,136,121,51,451291,93,94,87,162,129,221000000,467,4000000000,1,1,198,1,42
43,63,140,124,20,272604,95,96,89,165,131,52000000,478,2000000000,1,1,203,1,43
44,72,142,127,69,447331,97,99,91,169,134,86000000,490,8000000000,136,17,209,1,44
45,132,146,130,71,42736677,99,50,93,173,137,2920000000,447,1.25E+11,1,43,205,1,45
46,135,151,133,74,494894,101,102,95,178,143,43000000,519,963000000,1,1,222,1,46
47,137,153,136,75,589981,103,104,97,180,145,41000000,533,1000000000,1,1,226,1,47
48,108,156,138,77,516044,105,106,99,183,148,86000000,549,8000000000,1,1,36,1,48
49,12,160,140,78,304094,107,109,101,187,151,32000000,366,2000000000,1,1,235,1,49
50,143,162,143,81,41687,110,111,103,192,154,15000000,572,119000000,18,59,239,1,50
51,148,166,146,14,1992264,112,113,105,197,157,69000000,,633000000,1,1,5,1,51
52,152,168,149,84,17263,115,115,107,201,159,6000000,592,138000000,1,1,245,1,52
53,29,172,151,82,18262185,117,117,109,204,162,5920000000,334,1.88E+11,146,61,247,1,53
54,144,179,154,87,898678,119,119,111,208,166,51000000,620,3000000000,44,65,98,1,54
55,160,183,156,90,121683,121,122,113,212,168,45000000,,170000000,1,1,73,1,55
56,98,186,158,91,587514,123,124,115,218,171,90000000,,4000000000,155,68,258,1,56
57,52,190,161,27,344742,125,126,117,222,173,61000000,,1000000000,1,1,261,1,57
58,36,193,163,94,1846807,127,128,119,225,177,190000000,,5000000000,1,1,263,1,58
59,4,195,165,95,325613,129,130,121,229,180,83000000,465,6000000000,43,70,265,1,59
60,169,198,167,68,135040,131,132,123,233,68,16000000,665,353000000,164,75,273,1,60
61,5,201,171,2,89156,133,135,125,236,184,26000000,678,1000000000,1,1,278,1,61
62,42,204,174,98,337647,136,137,126,240,187,65000000,,2000000000,103,78,279,1,62
63,173,208,177,100,152240,139,139,128,243,190,20000000,,234000000,1,1,288,1,63
64,173,211,180,46,1157736,141,141,130,247,194,79000000,,476000000,90,22,,1,64
65,6,214,182,32,227645,143,143,132,250,196,26000000,707,420000000,1,1,196,1,65
66,178,218,185,26,8452409,145,145,134,254,200,915000000,624,47000000000,114,71,302,1,66
67,72,221,188,98,520638,147,148,136,258,204,61000000,737,4000000000,1,1,306,1,67
68,169,224,191,90,143715,149,151,138,261,206,21000000,,91000000,1,1,312,1,68
69,60,232,199,27,1031891,155,158,145,272,214,173000000,759,4000000000,188,35,29,1,70
70,60,232,199,27,1031891,155,158,145,272,214,173000000,759,4000000000,188,35,29,1,70
71,15,234,202,34,246078,157,160,147,276,217,55000000,,232000000,1,1,323,1,71
72,186,237,205,105,4868306,159,162,149,280,220,359000000,753,6000000000,1,1,15,1,72
73,52,240,208,79,125110,161,164,151,283,222,28000000,788,144000000,1,1,329,1,73
74,192,243,210,90,571871,163,166,153,286,224,338000000,,581000000,1,1,148,1,74
75,36,245,7,17,147162,4,168,155,289,227,24000000,,316000000,1,1,3,1,75
76,5,248,215,107,6187177,166,170,157,292,229,529000000,810,29000000000,1,1,335,1,76
77,108,255,218,8,330530,169,173,159,296,232,40000000,584,1000000000,63,83,225,1,77
78,110,258,221,13,14396684,171,175,106,299,235,846000000,834,8000000000,1,1,125,1,78
79,101,261,224,16,56482911,173,177,162,303,237,5500000000,849,87000000000,78,75,232,1,79
80,212,267,228,110,820562,175,179,164,306,240,41000000,,1000000000,1,1,74,1,80
81,63,271,86,9,142772,177,182,166,310,242,22000000,865,1000000000,1,1,120,1,81
82,218,107,234,7,20073,179,184,168,315,245,14000000,294,158000000,25,75,349,1,82
83,25,277,236,27,661731,181,186,170,318,248,53000000,884,595000000,164,20,199,1,83
84,225,279,121,84,4344196,183,188,172,323,250,117000000,296,2000000000,1,1,231,1,84
85,178,282,241,56,865363,185,190,174,327,252,49000000,906,1000000000,1,1,49,1,85
86,36,285,244,57,94062,187,192,176,331,254,20000000,921,243000000,1,1,158,1,86
87,169,288,247,5,41723,189,194,178,336,256,16000000,,54000000,196,26,,1,87
88,60,292,251,113,2930250,192,197,180,342,262,295000000,939,11000000000,123,30,122,1,88
89,236,294,254,32,1179591,194,200,182,346,265,69000000,,338000000,1,1,357,1,89
90,60,299,262,118,2463872,200,207,187,355,273,316000000,621,30000000000,135,30,361,1,91
91,60,299,262,118,2463872,200,207,187,355,273,316000000,621,30000000000,135,30,361,1,91
92,29,302,239,3,462606,202,209,189,359,213,51000000,836,883000000,1,1,162,1,92
93,46,304,266,101,199003,204,212,191,362,277,25000000,110,418000000,1,1,368,1,93
94,135,305,268,28,2308877,206,214,193,366,280,406000000,992,15000000000,223,92,159,1,94
95,98,308,270,121,435488,208,168,195,371,284,50000000,100,660000000,1,1,64,1,95
96,74,311,273,74,101675,210,217,197,375,287,15000000,367,691000000,1,1,371,1,96
97,101,314,276,122,1663763,212,219,199,381,290,204000000,1024,5000000000,186,95,109,1,97
98,251,318,278,105,1826626,214,221,202,385,211,38000000,1036,261000000,7,66,378,1,98
99,236,322,281,126,82538,218,223,205,394,300,11000000,1050,454000000,116,24,162,1,99
100,15,324,285,127,1383356,220,225,207,398,303,190000000,1063,7000000000,79,52,26,1,100
