Timestamp,Location,Current conditions,temperature,feels like,High,Low,Precipitation (%),Relative Humidity (%),Barometer (atm),Dew Point,Visibility (Miles),(Wind Direction),Wind Speed (mph)
Thu Jan 28 16:50:00 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,52,52,66,48,30,87,29.90 Steady ,48,10,SE,2
Thu Jan 28 17:14:14 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,54,54,66,48,30,86,29.92 Rising Rapidly ,50,10,CALM,0
Thu Jan 28 17:30:15 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,54,54,65,48,30,86,29.92 Rising Rapidly ,50,10,CALM,0
Fri Jan 29 08:42:27 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,54,54,64,48,0,82,30.03 Steady ,49,10,ESE,7
Fri Jan 29 09:26:22 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,53,53,64,49,0,83,30.03 Steady ,48,10,ESE,8
Fri Jan 29 11:58:25 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,52,52,69,48,0,85,30.04 Steady ,48,10,E,8
Fri Jan 29 12:43:07 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,53,53,69,48,0,84,30.03 Steady ,48,10,E,5
Fri Jan 29 13:30:50 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,53,53,69,48,0,83,30.02 Falling ,48,10,E,8
Fri Jan 29 14:18:40 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,51,51,69,48,0,89,30.03 Rising ,48,10,E,5
Fri Jan 29 15:03:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,51,51,69,48,0,89,30.03 Steady ,48,10,E,5
Fri Jan 29 15:49:00 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,51,51,69,48,0,90,30.03 Steady ,48,10,ESE,3
Fri Jan 29 16:36:49 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,51,51,69,48,0,89,30.05 Rising Rapidly ,48,10,E,3
Fri Jan 29 17:21:14 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,54,54,69,48,10,83,30.07 Rising Rapidly ,49,10,E,3
Fri Jan 29 18:09:42 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,57,57,69,48,10,74,30.07 Steady ,49,10,ENE,4
Fri Jan 29 18:54:41 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,58,58,68,48,0,66,30.09 Steady ,47,10,E,6
Fri Jan 29 19:46:40 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,60,60,66,47,0,62,30.09 Steady ,47,10,E,5
Fri Jan 29 20:44:29 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,60,60,66,47,0,61,30.07 Steady ,46,10,CALM,0
Fri Jan 29 21:29:06 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,62,62,66,47,0,58,30.04 Falling Rapidly ,47,10,CALM,0
Fri Jan 29 22:15:43 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,64,64,66,47,0,50,30.01 Falling Rapidly ,45,10,CALM,0
Fri Jan 29 23:00:38 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,64,64,66,47,10,49,30.01 Steady ,44,10,WSW,1
Fri Jan 29 23:44:53 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,64,64,66,47,10,46,30.00 Steady ,42,10,CALM,0
Sat Jan 30 00:28:59 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,66,66,66,47,10,43,29.99 Falling ,43,10,ESE,3
Sat Jan 30 01:13:08 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,64,64,66,47,10,51,29.99 Steady ,46,7,ESE,4
Sat Jan 30 01:57:05 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,61,61,66,47,10,55,29.99 Steady ,45,6,SW,6
Sat Jan 30 02:41:23 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,61,61,66,47,10,53,29.99 Steady ,44,9,SW,4
Sat Jan 30 03:24:54 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,61,61,66,47,10,60,30.00 Rising ,47,10,CALM,0
Sat Jan 30 04:08:50 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,60,60,66,47,10,63,30.00 Steady ,47,9,CALM,0
Sat Jan 30 04:52:35 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,59,59,66,47,10,62,30.00 Steady ,46,9,CALM,0
Sat Jan 30 05:36:21 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,58,58,66,47,10,67,30.00 Steady ,47,9,NE,1
Sat Jan 30 06:20:26 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,58,58,66,47,10,67,30.00 Steady ,47,9,NE,1
Sat Jan 30 07:06:25 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,56,56,66,47,10,78,30.01 Steady ,49,9,ENE,1
Sat Jan 30 07:49:06 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,55,55,66,47,10,72,30.01 Steady ,46,10,ENE,5
Sat Jan 30 08:32:20 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,53,53,66,47,10,74,30.00 Steady ,45,10,E,5
Sat Jan 30 11:14:06 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,52,52,71,47,10,77,30.00 Steady ,45,10,CALM,0
Sat Jan 30 12:01:56 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,52,52,71,47,10,77,30.00 Steady ,45,10,ESE,1
Sat Jan 30 12:45:33 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,52,52,71,47,10,75,29.99 Steady ,44,10,SE,6
Sat Jan 30 13:28:46 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,52,52,71,47,10,71,29.97 Falling Rapidly ,43,10,ESE,7
Sat Jan 30 14:12:58 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,51,51,71,47,10,72,29.97 Steady ,43,10,ESE,8
Sat Jan 30 14:57:14 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,50,50,71,47,10,71,29.97 Steady ,41,10,E,8
Sat Jan 30 15:42:52 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,50,47,71,47,10,74,29.97 Steady ,42,10,E,7
Sat Jan 30 16:27:50 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,50,47,71,47,10,74,29.97 Steady ,42,10,E,6
Sat Jan 30 17:12:17 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,54,54,71,47,10,64,29.98 Steady ,42,10,ESE,1
Sat Jan 30 17:55:27 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,58,58,71,47,10,51,30.00 Steady ,40,10,ENE,10
Sat Jan 30 18:39:27 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,60,60,70,47,10,45,29.99 Steady ,38,10,E,12
Sat Jan 30 19:22:45 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,60,60,69,48,10,42,29.99 Steady ,37,10,ENE,12
Sat Jan 30 20:07:00 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,62,62,69,48,10,40,29.99 Steady ,37,10,ENE,12
Sat Jan 30 20:50:06 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,63,63,69,48,10,36,29.97 Steady ,36,10,E,8
Sat Jan 30 21:33:52 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,65,65,68,48,0,34,29.94 Steady ,36,10,E,7
Sat Jan 30 22:17:23 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,65,65,68,48,0,34,29.92 Falling Rapidly ,36,10,SE,4
Sat Jan 30 23:02:49 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,65,65,68,48,10,34,29.92 Steady ,36,10,SE,6
Sat Jan 30 23:47:43 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,66,66,68,48,10,33,29.89 Steady ,36,10,E,13
Sun Jan 31 00:31:42 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,67,67,68,48,10,32,29.88 Falling ,36,10,E,10
Sun Jan 31 01:22:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,67,67,68,48,10,32,29.88 Steady ,36,10,ESE,6
Sun Jan 31 02:06:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,65,65,68,48,10,36,29.88 Steady ,37,8,ESE,5
Sun Jan 31 02:49:33 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,65,65,68,48,10,38,29.89 Steady ,38,10,E,5
Sun Jan 31 03:33:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Clear,61,61,68,48,10,44,29.89 Steady ,39,8,E,4
Sun Jan 31 04:17:16 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,60,60,68,48,10,51,29.89 Steady ,42,10,ENE,3
Sun Jan 31 05:01:32 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Clear,57,57,68,48,10,60,29.89 Steady ,43,8,NE,4
Sun Jan 31 05:47:55 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Clear,56,56,68,48,10,75,29.89 Steady ,48,9,CALM,0
Sun Jan 31 06:32:46 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Clear,55,55,68,48,10,77,29.89 Steady ,48,8,WNW,1
Sun Jan 31 07:15:39 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,56,56,68,48,10,57,29.90 Rising ,41,10,E,5
Sun Jan 31 08:02:22 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,55,55,68,48,20,61,29.90 Steady ,42,9,E,5
Sun Jan 31 08:47:02 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,51,51,68,48,20,73,29.89 Steady ,43,9,E,5
Sun Jan 31 09:30:17 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,52,52,68,48,20,69,29.89 Steady ,42,10,ESE,3
Sun Jan 31 10:13:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,51,51,68,48,20,68,29.88 Falling ,41,10,E,3
Sun Jan 31 10:57:16 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,50,50,71,50,20,74,29.88 Steady ,42,9,ESE,4
Sun Jan 31 11:40:47 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,49,49,71,50,20,78,29.88 Steady ,43,9,ESE,1
Sun Jan 31 12:24:22 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,51,51,71,50,20,66,29.88 Steady ,40,10,CALM,0
Sun Jan 31 13:07:45 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,49,49,71,50,20,74,29.88 Steady ,41,8,SSE,1
Sun Jan 31 13:51:22 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,49,49,71,50,20,80,29.88 Steady ,43,9,CALM,0
Sun Jan 31 14:34:10 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,47,47,71,50,20,80,29.89 Steady ,41,9,CALM,0
Sun Jan 31 15:18:16 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,48,46,71,50,20,74,29.90 Rising ,40,10,E,5
Sun Jan 31 16:01:48 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,48,45,71,50,20,77,29.90 Steady ,41,9,E,5
Sun Jan 31 16:51:35 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,49,49,71,50,20,77,29.92 Rising Rapidly ,42,10,CALM,0
Sun Jan 31 17:35:13 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,54,54,71,50,20,63,29.93 Steady ,42,10,CALM,0
Sun Jan 31 18:20:13 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,56,56,71,50,10,57,29.94 Rising ,41,10,E,3
Sun Jan 31 19:04:01 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,59,59,71,50,10,53,29.94 Steady ,42,10,E,3
Sun Jan 31 19:49:30 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,63,63,69,50,10,41,29.94 Steady ,39,10,E,6
Sun Jan 31 20:32:19 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,64,64,69,50,10,40,29.93 Steady ,39,10,NNE,4
Sun Jan 31 21:16:58 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,65,65,69,50,10,39,29.89 Falling Rapidly ,39,10,CALM,0
Sun Jan 31 21:59:45 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,65,65,68,50,10,37,29.89 Steady ,38,10,SW,1
Sun Jan 31 22:44:35 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,66,66,68,50,10,36,29.87 Steady ,38,10,CALM,0
Sun Jan 31 23:27:55 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,67,67,68,50,10,36,29.86 Falling ,39,10,CALM,0
Mon Feb  1 00:11:53 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,66,66,68,50,10,38,29.86 Steady ,40,10,CALM,0
Mon Feb  1 00:54:48 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,68,68,68,50,10,38,29.86 Steady ,41,8,SW,7
Mon Feb  1 01:41:05 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,67,67,68,50,10,38,29.86 Steady ,40,8,SW,6
Mon Feb  1 02:25:05 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,66,66,68,50,10,37,29.87 Rising ,39,10,W,6
Mon Feb  1 03:08:45 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,64,64,68,50,10,40,29.87 Steady ,39,9,W,6
Mon Feb  1 03:53:26 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,63,63,68,50,10,45,29.89 Steady ,41,8,W,7
Mon Feb  1 04:38:14 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,58,58,68,50,10,68,29.90 Steady ,48,8,SW,4
Mon Feb  1 05:21:23 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,58,58,68,50,10,67,29.92 Rising Rapidly ,47,10,SW,3
Mon Feb  1 06:06:17 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,57,57,68,50,10,72,29.92 Steady ,47,9,SSW,3
Mon Feb  1 06:49:26 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,56,56,68,50,10,64,29.92 Steady ,44,8,ENE,1
Mon Feb  1 07:33:16 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,56,56,68,50,10,61,29.92 Steady ,43,9,CALM,0
Mon Feb  1 08:16:41 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,55,55,68,50,10,64,29.92 Steady ,43,8,E,1
Mon Feb  1 09:00:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,55,55,68,50,10,64,29.92 Steady ,43,8,NE,1
Mon Feb  1 09:43:06 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,53,53,68,51,10,74,29.93 Steady ,45,9,E,5
Mon Feb  1 10:26:39 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,53,53,71,51,10,69,29.93 Steady ,43,10,ESE,3
Mon Feb  1 11:09:36 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,51,51,71,51,10,76,29.93 Steady ,44,9,ESE,5
Mon Feb  1 11:53:03 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,50,50,71,51,10,77,29.94 Steady ,43,10,E,5
Mon Feb  1 12:36:26 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,50,50,71,51,10,76,29.94 Steady ,43,10,E,4
Mon Feb  1 13:19:57 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,50,50,71,51,10,77,29.94 Steady ,43,10,ESE,3
Mon Feb  1 14:03:51 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Clear,48,47,71,51,10,81,29.94 Steady ,43,9,ESE,5
Mon Feb  1 14:48:54 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Clear,49,47,71,51,10,76,29.94 Steady ,42,10,ESE,6
Mon Feb  1 15:32:39 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,48,46,71,51,10,76,29.96 Steady ,41,10,E,5
Mon Feb  1 16:17:22 2010," US and USA, AZ and Arizona, Phoenix, 85001",Partly Cloudy,48,45,71,51,10,78,29.96 Steady ,41,9,E,5
Mon Feb  1 17:02:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,50,50,71,51,10,72,29.96 Steady ,41,10,E,6
Mon Feb  1 17:45:57 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,54,54,71,51,10,61,29.98 Steady ,41,10,E,6
Mon Feb  1 18:29:27 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,55,55,71,51,10,59,29.99 Rising ,41,10,E,8
Mon Feb  1 19:13:13 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,58,58,69,51,10,51,30.00 Rising ,40,10,ENE,7
Mon Feb  1 19:58:03 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,60,60,69,51,10,47,30.00 Steady ,40,10,ENE,8
Mon Feb  1 20:44:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,62,62,69,51,10,49,29.98 Steady ,42,10,E,6
Mon Feb  1 21:29:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,63,63,67,51,10,43,29.94 Falling Rapidly ,40,10,CALM,0
Mon Feb  1 22:12:49 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,63,63,67,51,10,42,29.94 Steady ,40,10,W,1
Mon Feb  1 22:56:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,65,65,67,51,20,37,29.91 Steady ,38,10,W,1
Mon Feb  1 23:42:15 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,64,64,67,51,20,34,29.90 Steady ,35,10,CALM,0
Tue Feb  2 00:29:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,67,67,67,51,20,31,29.89 Falling ,35,10,WSW,5
Tue Feb  2 01:14:46 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,66,66,67,51,20,32,29.89 Steady ,35,10,CALM,0
Tue Feb  2 01:57:53 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,65,65,67,51,20,36,29.89 Steady ,37,8,CALM,0
Tue Feb  2 02:41:56 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,64,64,67,51,20,39,29.89 Steady ,38,9,S,4
Tue Feb  2 03:25:27 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,62,62,67,51,20,44,29.90 Rising ,40,10,SW,3
Tue Feb  2 04:09:14 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,60,60,67,51,20,47,29.90 Steady ,40,9,SW,3
Tue Feb  2 04:52:47 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,61,61,67,51,20,44,29.90 Steady ,39,9,CALM,0
Tue Feb  2 05:36:11 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,61,61,67,51,20,41,29.89 Steady ,37,8,N,6
Tue Feb  2 06:19:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,60,60,67,51,20,43,29.89 Steady ,38,7,N,6
Tue Feb  2 07:06:36 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,56,56,67,51,20,66,29.89 Steady ,45,9,CALM,0
Tue Feb  2 07:49:35 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,57,57,67,51,20,54,29.90 Steady ,40,10,CALM,0
Tue Feb  2 08:32:47 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,56,56,67,51,20,59,29.90 Steady ,42,10,CALM,0
Tue Feb  2 09:16:17 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,55,55,67,51,20,62,29.89 Falling ,42,10,E,3
Tue Feb  2 09:59:48 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,55,55,67,51,20,62,29.89 Steady ,42,10,ESE,4
Tue Feb  2 10:43:23 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,54,54,70,53,20,65,29.89 Steady ,42,10,CALM,0
Tue Feb  2 11:27:30 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,52,52,70,53,20,71,29.88 Falling ,43,10,ESE,5
Tue Feb  2 12:11:31 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,51,51,70,53,20,74,29.88 Steady ,43,9,ESE,4
Tue Feb  2 12:55:23 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,53,53,70,53,20,69,29.87 Steady ,42,10,CALM,0
Tue Feb  2 13:38:45 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,51,51,70,53,20,68,29.87 Steady ,41,10,CALM,0
Tue Feb  2 14:22:24 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,52,52,70,53,20,74,29.87 Steady ,44,10,ESE,3
Tue Feb  2 15:06:46 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,50,50,70,53,20,81,29.87 Steady ,45,9,ESE,4
Tue Feb  2 15:53:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,53,53,70,53,20,62,29.87 Steady ,40,9,E,1
