source,Flight,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate,,,
25,2,0,750,,0,335,,,,2
25,31,0,360,,0,620,,,,31
26,2,0,750,,0,335,,,,2
26,31,0,360,,0,620,,,,31
27,2,0,750,,0,335,,,,2
27,31,0,360,,0,620,,,,31
28,2,0,750,,0,335,,,,2
28,31,0,360,,0,620,,,,31
31,20,0,360,370,0,1110,1089,5,4,20
31,21,0,360,416,0,410,469,6,5,21
31,25,0,360,368,0,531,530,10,9,25
31,73,0,400,414,0,534,554,23,23,73
31,75,0,405,417,0,445,455,24,24,75
31,89,0,419,442,0,565,585,30,30,89
31,93,0,420,445,0,585,569,34,3,93
32,20,0,360,370,0,1110,1089,5,4,20
32,21,0,360,416,0,410,469,6,5,21
32,25,0,360,368,0,531,530,10,9,25
32,73,0,400,414,0,534,554,23,23,73
32,75,0,405,417,0,445,455,24,24,75
32,89,0,419,442,0,565,585,30,30,89
32,93,0,420,445,0,585,569,34,3,93
33,20,0,360,370,0,1110,1089,5,4,20
33,21,0,360,416,0,410,469,6,5,21
36,2,0,30,,,,,,,2
36,31,0,360,,,,,,,31
