entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
186_4,Asus,LCD Monitor,16:09,4,0,1
190_4,Asus,Monitor,16:08,4,0,1
193_4,iiyama North America,Monitors,16:08,4,0,1
22_5,Philips Electronics,LCD Monitors,5:04,4,0,1
25_5,Philips Electronics,LCD Monitor,16:11,4,0,1
27_5,Philips Electronics,LCD Monitor,16:09,4,0,1
28_5,Philips Electronics,LCDS,16:09,4,0,1
32_5,Philips Electronics,LCD Monitor,16:09,4,0,1
33_5,Philips Electronics,LCD Monitor,16:09,4,0,1
39_5,Philips Electronics,Brilliance LCD Monitor,16:09,4,0,1
40_5,Philips Electronics,LCD,16:09,4,0,1
41_5,Philips Electronics,LCD,16:10,4,0,1
62_5,Philips Electronics,Monitor,16:09,4,0,1
88_5,iiyama North America,LCD,16:08,4,0,1
103_5,Hannspree,LCD,16:09,4,0,1
128_5,Asus,LCD Monitor,16:11,4,0,1
132_5,Asus,LCD Monitor,21:09,4,0,1
133_5,Asus,LCD Monitor,16:09,4,0,1
168_5,Asus,Monitor,16:10,4,0,1
171_5,Asus,LCD Monitors,16:09,4,0,1
186_5,Asus,LCD Monitor,16:09,4,0,1
190_5,Asus,Monitor,16:08,4,0,1
193_5,iiyama North America,LCCD Monitor,16:08,4,0,1
