source,flight,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate,attr9,attr10,attr11
1,268,0,545,,0,710,,,,268
1,269,0,545,,0,713,,,,269
1,267,0,545,611,0,755,791,,,267
1,270,0,550,653,0,735,825,,,270
1,275,0,555,,0,738,,,,275
1,274,0,555,,0,1010,,,,274
1,277,0,560,,0,680,,,,277
1,287,0,570,,0,750,,,,287
1,288,0,570,572,0,884,894,,,288
1,296,0,585,,0,796,,,,296
1,297,0,585,,0,889,,,,297
1,301,0,590,954,0,807,442,,,301
1,302,0,590,611,0,965,982,,,302
1,308,0,595,,0,798,,,,308
1,309,0,595,,0,962,,,,309
1,310,0,595,,0,1013,,,,310
1,312,0,600,,0,701,,,,312
1,313,0,600,601,0,793,784,,,313
1,316,0,605,613,0,770,746,,,316
1,324,0,610,,0,727,,,,324
1,325,0,610,605,0,830,819,,,325
1,329,0,615,619,0,730,710,,,329
1,332,0,620,,0,785,,,,332
1,335,0,620,,0,872,,,,335
1,338,0,625,,0,826,,,,338
1,339,0,625,,0,1124,,,,339
1,341,0,627,,0,731,,,,341
1,347,0,630,632,0,783,767,,,347
1,350,0,635,,0,807,,,,350
1,351,0,635,,0,830,,,,351
1,352,0,637,,0,850,,,,352
1,353,0,637,,0,850,,,,353
1,358,0,640,655,0,810,808,,,358
1,359,0,640,666,0,885,876,,,359
1,360,0,640,662,0,899,892,,,360
1,361,0,640,638,0,1123,1139,,,361
1,368,0,645,,0,754,,,,368
1,366,0,645,,0,815,,,,366
1,369,0,645,646,0,917,903,,,369
1,370,0,645,647,0,925,930,,,370
1,375,0,650,,0,745,,,,375
1,377,0,655,,0,750,,,,377
1,379,0,660,671,0,795,771,,,379
1,388,0,675,,0,780,,,,388
1,400,0,685,,0,785,,,,400
1,404,0,685,,0,900,,,,404
1,401,0,685,,0,1045,,,,401
1,410,0,689,685,0,782,757,,,410
1,411,0,689,,0,785,,,,411
1,415,0,690,,0,814,,,,415
1,413,0,690,,0,845,,,,413
1,422,0,695,704,0,788,802,,,422
1,423,0,695,,0,851,,,,423
1,419,0,695,712,0,865,857,,,419
1,421,0,695,702,0,875,866,,,421
1,436,0,705,,0,794,,,,436
1,435,0,705,,0,930,,,,435
1,440,0,710,708,0,773,756,,,440
1,444,0,715,,0,885,,,,444
1,454,0,720,,0,880,,,,454
1,455,0,720,,0,904,,,,455
1,459,0,725,737,0,785,783,,,459
1,461,0,725,,0,840,,,,461
1,465,0,730,,0,910,,,,465
1,470,0,735,,0,1245,,,,470
1,475,0,740,,0,812,,,,475
1,479,0,745,737,0,813,791,,,479
1,478,0,745,812,0,1250,1281,,,478
1,484,0,750,771,0,840,832,,,484
1,490,0,750,750,0,896,899,,,490
1,487,0,750,767,0,940,949,,,487
1,491,0,750,,0,1064,,,,491
1,498,0,755,,0,850,,,,498
1,501,0,755,,0,934,,,,501
1,505,0,760,,0,832,,,,505
1,503,0,760,,0,925,,,,503
1,504,0,760,823,0,960,1021,,,504
1,510,0,765,,0,895,,,,510
1,511,0,768,,0,845,,,,511
1,512,0,769,767,0,1289,1270,,,512
1,516,0,771,,0,832,,,,516
1,524,0,780,,0,935,,,,524
1,525,0,780,,0,945,,,,525
1,526,0,780,,0,953,,,,526
1,531,0,785,844,0,1000,1062,,,531
1,532,0,785,,0,1010,,,,532
1,536,0,790,797,0,840,823,,,536
1,544,0,792,,0,895,,,,544
1,545,0,792,,0,898,,,,545
1,547,0,795,,0,934,,,,547
1,548,0,795,,0,958,,,,548
1,563,0,809,828,0,977,977,,,563
1,567,0,810,,0,1015,,,,567
1,569,0,813,,0,998,,,,569
1,578,0,820,821,0,1004,982,,,578
1,585,0,825,,0,507,,,,585
1,582,0,825,841,0,1025,1054,,,582
1,584,0,825,,0,1030,,,,584
1,590,0,835,,0,900,,,,590
1,594,0,835,833,0,920,913,,,594
1,595,0,835,,0,960,,,,595
1,593,0,835,858,0,1030,1026,,,593
1,598,0,837,,0,970,,,,598
1,602,0,840,844,0,1005,1009,,,602
1,603,0,840,,0,1007,,,,603
1,601,0,840,,0,1085,,,,601
1,607,0,845,868,0,1020,1012,,,607
1,621,0,865,,0,965,,,,621
1,625,0,869,,0,1059,,,,625
1,628,0,870,,0,1027,,,,628
1,629,0,870,874,0,1039,1027,,,629
1,630,0,870,,0,1052,,,,630
1,631,0,870,,0,1143,,,,631
1,640,0,874,,0,933,,,,640
1,651,0,880,,0,996,,,,651
1,656,0,881,,0,1014,,,,656
1,661,0,885,,0,1053,,,,661
1,663,0,890,,0,990,,,,663
1,664,0,890,,0,1000,,,,664
1,671,0,895,888,0,979,972,,,671
1,672,0,895,,0,1020,,,,672
1,681,0,900,,0,994,,,,681
1,686,0,905,,0,1082,,,,686
1,687,0,905,901,0,1151,1142,,,687
1,688,0,905,,0,1274,,,,688
1,693,0,910,906,0,1020,1023,,,693
1,696,0,914,,0,1014,,,,696
1,702,0,915,,0,991,,,,702
1,700,0,915,,0,1080,,,,700
1,713,0,920,958,0,1070,1058,,,713
1,714,0,925,,0,1006,,,,714
1,717,0,929,,0,1114,,,,717
1,718,0,929,,0,1119,,,,718
1,721,0,930,,0,1038,,,,721
1,726,0,935,,0,1120,,,,726
1,727,0,935,957,0,1137,1135,,,727
1,737,0,945,942,0,1171,429,,,737
1,739,0,950,,0,1015,,,,739
1,740,0,950,,0,1192,,,,740
1,749,0,955,974,0,1045,1045,,,749
1,755,0,956,953,0,1086,1078,,,755
1,756,0,958,,0,1035,,,,756
1,761,0,960,,0,1034,,,,761
1,759,0,960,,0,1120,,,,759
1,760,0,960,,0,1130,,,,760
1,766,0,965,,0,1195,,,,766
1,773,0,975,,0,1130,,,,773
1,774,0,975,,0,1155,,,,774
1,779,0,980,,0,1215,,,,779
1,781,0,982,,0,1202,,,,781
1,785,0,985,268,0,29,721,,,785
1,786,0,985,,0,1169,,,,786
1,792,0,988,979,0,1099,1090,,,792
1,793,0,988,979,0,1099,1090,,,793
1,796,0,990,,0,1079,,,,796
1,800,0,995,,0,1145,,,,800
1,804,0,1000,,0,1100,,,,804
1,807,0,1000,,0,1117,,,,807
1,812,0,1005,1015,0,1080,1097,,,812
1,819,0,1010,,0,1210,,,,819
1,820,0,1010,1009,0,1214,1207,,,820
1,825,0,1013,,0,1075,,,,825
1,829,0,1015,,0,1110,,,,829
1,836,0,1020,1015,0,1100,1082,,,836
1,837,0,1020,1016,0,1131,1130,,,837
1,834,0,1020,1051,0,1195,1205,,,834
1,840,0,1025,,0,1055,,,,840
1,844,0,1030,,0,1225,,,,844
1,848,0,1035,1027,0,1133,1123,,,848
1,853,0,1040,1046,0,1185,1193,,,853
1,858,0,1045,1046,0,1213,1222,,,858
1,859,0,1045,,0,1248,,,,859
1,866,0,1050,330,0,1120,400,,,866
1,880,0,1065,,0,1196,,,,880
1,878,0,1065,,0,1210,,,,878
1,886,0,1070,,0,1430,,,,886
1,889,0,1075,,0,1223,,,,889
1,892,0,1078,,0,1206,,,,892
1,893,0,1078,,0,1206,,,,893
1,896,0,1080,,0,1270,,,,896
1,904,0,1085,1098,0,1245,1237,,,904
1,907,0,1086,,0,1243,,,,907
1,926,0,1109,,0,1233,,,,926
1,928,0,1110,1136,0,1165,1175,,,928
1,933,0,1124,,0,1205,,,,933
1,935,0,1125,1135,0,1270,1253,,,935
1,939,0,1130,,0,1285,,,,939
1,940,0,1130,1161,0,1336,1310,,,940
1,943,0,1135,,0,1255,,,,943
1,947,0,1136,440,0,1171,457,,,947
1,948,0,1140,1143,0,1228,1261,,,948
1,949,0,1140,1145,0,1295,1290,,,949
1,971,0,1155,435,0,21,741,,,971
1,968,0,1155,1162,0,1230,1227,,,968
1,972,0,1155,,0,1254,,,,972
1,973,0,1155,,0,1254,,,,973
1,974,0,1155,,0,1315,,,,974
1,978,0,1160,1191,0,1400,1397,,,978
1,983,0,1163,,0,1250,,,,983
1,984,0,1168,,0,1156,,,,984
1,992,0,1175,,0,15,,,,992
1,990,0,1175,,0,1210,,,,990
1,993,0,1175,,0,1311,,,,993
1,999,0,1180,,0,44,,,,999
1,995,0,1180,,0,1265,,,,995
1,1000,0,1182,,0,1248,,,,1000
1,1002,0,1185,,0,1358,,,,1002
1,1003,0,1190,,0,1404,,,,1003
1,1007,0,1200,,0,1305,,,,1007
1,1014,0,1210,,0,1370,,,,1014
1,1020,0,1220,1239,0,1280,559,,,1020
1,1024,0,1225,1228,0,1336,1324,,,1024
1,1023,0,1225,509,0,1430,695,,,1023
1,1030,0,1235,1235,0,1385,1367,,,1030
1,1035,0,1250,1362,0,1436,579,,,1035
1,1040,0,1255,1245,0,1373,1340,,,1040
1,1039,0,1255,537,0,1425,699,,,1039
1,1048,0,1260,,0,1405,,,,1048
1,1051,0,1265,1274,0,7,1417,,,1051
1,1053,0,1270,1291,0,5,712,,,1053
1,1055,0,1271,1270,0,1439,1421,,,1055
1,1060,0,1280,1347,0,325,354,,,1060
1,1062,0,1285,568,0,1335,602,,,1062
1,1065,0,1289,,0,1369,,,,1065
1,1069,0,1295,,0,10,,,,1069
1,1070,0,1295,,0,1377,,,,1070
1,1068,0,1295,,0,1380,,,,1068
1,1072,0,1300,,0,1430,,,,1072
1,1077,0,1310,,0,1420,,,,1077
1,1079,0,1315,1321,0,25,9,,,1079
1,1080,0,1315,597,0,60,729,,,1080
1,1086,0,1331,1335,0,1438,718,,,1086
1,1087,0,1335,639,0,15,739,,,1087
1,1093,0,1340,,0,30,,,,1093
1,1092,0,1340,,0,1439,,,,1092
1,1097,0,1350,1376,0,25,748,,,1097
1,1098,0,1350,646,0,45,762,,,1098
1,1103,0,1365,,0,367,,,,1103
1,1105,0,1370,663,0,105,95,,,1105
1,1107,0,1375,678,0,400,389,,,1107
1,1110,0,1380,1392,0,445,428,,,1110
1,1120,0,1439,,0,331,,,,1120
1,2,1,30,,1,335,,,,1123
1,8,1,330,,1,495,,,,1128
1,9,1,330,353,1,495,488,,,1129
1,10,1,330,355,1,509,493,,,1130
1,13,1,335,353,1,525,489,,,1134
1,14,1,342,,1,505,,,,1135
1,1121,1,345,357,1,490,473,,,1137
1,18,1,350,,1,560,,,,1140
1,37,1,360,,1,383,,,,1148
1,38,1,360,,1,453,,,,1149
1,22,1,360,,1,455,,,,1144
1,28,1,360,,1,463,,,,1150
1,24,1,360,,1,485,,,,1146
1,33,1,360,372,1,707,694,,,1151
1,35,1,360,,1,738,,,,1152
1,34,1,360,381,1,867,849,,,1153
1,49,1,370,,1,445,,,,1170
1,47,1,370,,1,478,,,,1171
1,46,1,370,364,1,604,586,,,1172
1,1123,1,370,373,1,605,589,,,1167
1,53,1,375,,1,714,,,,1176
1,55,1,380,,1,685,,,,1179
1,56,1,384,,1,500,,,,1180
1,58,1,387,,1,582,,,,1183
1,66,1,390,,1,462,,,,1187
1,59,1,390,,1,500,,,,1184
1,60,1,390,411,1,550,533,,,1185
1,63,1,390,427,1,585,628,,,1188
1,79,1,405,,1,491,,,,1201
1,81,1,410,408,1,633,618,,,1205
1,83,1,415,434,1,475,458,,,1207
1,89,1,419,458,1,634,605,,,1213
1,91,1,420,441,1,500,506,,,1215
1,99,1,420,417,1,516,517,,,1222
1,102,1,420,417,1,516,517,,,1223
1,93,1,420,,1,595,,,,1217
1,94,1,420,429,1,625,621,,,1218
1,101,1,420,,1,630,,,,1224
1,96,1,420,,1,925,,,,1220
1,97,1,420,,1,930,,,,1221
1,109,1,425,438,1,495,480,,,1233
1,114,1,425,,1,520,,,,1236
1,115,1,426,,1,593,,,,1239
1,123,1,430,,1,533,,,,1247
1,120,1,430,433,1,580,577,,,1244
1,122,1,430,449,1,930,916,,,1246
1,126,1,435,458,1,635,651,,,1250
1,132,1,440,474,1,515,514,,,1256
1,134,1,440,,1,609,,,,1258
1,138,1,445,,1,517,,,,1261
1,142,1,450,445,1,541,534,,,1266
1,140,1,450,456,1,685,671,,,1265
1,151,1,455,,1,550,,,,1272
1,148,1,455,,1,583,,,,1273
1,149,1,455,,1,612,,,,1274
1,155,1,462,,1,485,,,,1279
1,162,1,465,479,1,958,950,,,1283
1,164,1,467,,1,676,,,,1288
1,169,1,470,,1,573,,,,1291
1,174,1,479,,1,624,,,,1298
1,180,1,480,,1,571,,,,1301
1,179,1,480,474,1,715,655,,,1302
1,186,1,485,,1,659,,,,1308
1,182,1,485,,1,685,,,,1306
1,183,1,485,503,1,990,973,,,1307
1,187,1,485,495,1,990,939,,,1309
1,190,1,490,490,1,662,677,,,1313
1,198,1,495,,1,638,,,,1317
1,1125,1,500,,1,870,,,,1323
1,210,1,510,,1,675,,,,1333
1,213,1,510,521,1,710,705,,,1336
1,219,1,515,,1,622,,,,1344
1,220,1,515,,1,690,,,,1341
1,227,1,521,,1,594,,,,1353
1,228,1,522,,1,683,,,,1354
1,231,1,525,,1,618,,,,1356
1,233,1,525,,1,680,,,,1357
1,237,1,528,,1,835,,,,1362
1,242,1,530,593,1,684,711,,,1366
1,239,1,530,540,1,690,673,,,1364
1,243,1,530,,1,712,,,,1367
1,246,1,531,,1,736,,,,1371
1,251,1,535,534,1,803,785,,,1374
1,253,1,539,542,1,645,650,,,1377
1,258,1,540,,1,637,,,,1381
1,261,1,540,,1,643,,,,1382
1,262,1,540,,1,669,,,,1383
1,266,1,545,,1,670,,,,1390
1,272,1,550,560,1,612,595,,,1396
1,270,1,550,565,1,735,724,,,1394
1,271,1,550,570,1,765,766,,,1395
1,274,1,555,574,1,1010,1014,,,1398
1,281,1,565,,1,705,,,,1405
1,283,1,566,560,1,714,700,,,1406
1,288,1,570,,1,884,,,,1412
1,294,1,575,,1,645,,,,1417
1,296,1,585,583,1,796,797,,,1420
1,1130,1,590,598,1,830,813,,,1424
1,302,1,590,647,1,965,1012,,,1425
1,304,1,592,,1,960,,,,1428
1,310,1,595,,1,1013,,,,1432
1,321,1,608,,1,898,,,,1442
1,324,1,610,,1,727,,,,1445
1,323,1,610,621,1,805,795,,,1444
1,327,1,610,628,1,835,819,,,1446
1,326,1,610,,1,957,,,,1447
1,328,1,611,,1,733,,,,1449
1,329,1,615,639,1,730,738,,,1451
1,335,1,620,,1,872,,,,1457
1,334,1,620,630,1,990,953,,,1456
1,340,1,625,652,1,770,755,,,1460
1,343,1,630,,1,760,,,,1466
1,344,1,630,,1,805,,,,1467
1,345,1,630,639,1,825,800,,,1468
1,352,1,637,629,1,850,843,,,1474
1,353,1,637,,1,850,,,,1475
1,362,1,640,,1,775,,,,1482
1,358,1,640,653,1,810,802,,,1479
1,359,1,640,654,1,885,860,,,1480
1,365,1,645,675,1,785,817,,,1486
1,374,1,650,,1,690,,,,1495
1,375,1,650,,1,745,,,,1497
1,380,1,660,,1,1125,,,,1500
1,388,1,675,,1,780,,,,1508
1,396,1,680,,1,815,,,,1516
1,397,1,681,,1,742,,,,1518
1,407,1,685,,1,773,,,,1521
1,405,1,685,730,1,911,969,,,1522
1,412,1,690,,1,765,,,,1529
1,423,1,695,,1,851,,,,1540
1,1136,1,695,,1,905,,,,1539
1,426,1,695,765,1,1068,1116,,,1541
1,427,1,696,,1,705,,,,1545
1,434,1,705,,1,840,,,,1552
1,441,1,710,732,1,867,877,,,1558
1,446,1,715,,1,830,,,,1564
1,1137,1,715,,1,875,,,,1562
1,444,1,715,,1,885,,,,1563
1,454,1,720,716,1,880,874,,,1573
1,452,1,720,,1,930,,,,1571
1,458,1,720,,1,991,,,,1574
1,462,1,725,,1,1078,,,,1581
1,466,1,730,865,1,915,1025,,,1585
1,472,1,735,,1,915,,,,1590
1,473,1,735,724,1,915,904,,,1591
1,474,1,740,,1,840,,,,1593
1,481,1,745,,1,908,,,,1596
1,478,1,745,,1,1250,,,,1595
1,1138,1,746,,1,832,,,,1599
1,484,1,750,778,1,840,823,,,1602
1,492,1,750,,1,860,,,,1608
1,489,1,750,763,1,1260,1230,,,1607
1,500,1,755,765,1,935,939,,,1617
1,502,1,760,,1,855,,,,1619
1,503,1,760,764,1,925,917,,,1620
1,504,1,760,781,1,960,970,,,1621
1,508,1,763,763,1,1107,1088,,,1626
1,510,1,765,761,1,895,900,,,1629
1,514,1,770,840,1,895,953,,,1633
1,518,1,775,791,1,930,921,,,1638
1,521,1,778,777,1,952,953,,,1641
1,523,1,780,810,1,875,880,,,1643
1,527,1,780,,1,1140,,,,1646
1,533,1,785,782,1,893,865,,,1651
1,532,1,785,,1,1010,,,,1652
1,544,1,792,,1,895,,,,1664
1,549,1,795,,1,892,,,,1666
1,548,1,795,,1,958,,,,1667
1,553,1,795,,1,999,,,,1668
1,554,1,800,,1,883,,,,1672
1,561,1,805,798,1,919,899,,,1678
1,559,1,805,,1,920,,,,1677
1,565,1,809,,1,995,,,,1681
1,567,1,810,,1,1015,,,,1685
1,571,1,815,,1,1015,,,,1689
1,581,1,823,,1,931,,,,1698
1,1141,1,825,837,1,1020,1031,,,1699
1,584,1,825,,1,1030,,,,1700
1,588,1,830,,1,951,,,,1704
1,590,1,835,,1,900,,,,1706
1,1142,1,835,,1,910,,,,1707
1,592,1,835,,1,950,,,,1709
1,597,1,835,,1,960,,,,1710
1,596,1,835,834,1,1193,1162,,,1711
1,1143,1,840,851,1,955,931,,,1715
1,602,1,840,,1,1005,,,,1720
1,1144,1,840,849,1,1015,1020,,,1717
1,615,1,855,861,1,1165,1157,,,1733
1,619,1,865,883,1,930,934,,,1737
1,632,1,870,,1,959,,,,1744
1,623,1,870,871,1,960,943,,,1745
1,628,1,870,871,1,1027,1031,,,1746
1,630,1,870,,1,1052,,,,1747
1,631,1,870,,1,1143,,,,1748
1,646,1,875,,1,950,,,,1765
1,652,1,880,,1,965,,,,1769
1,651,1,880,,1,996,,,,1770
1,653,1,880,877,1,1042,1030,,,1771
1,655,1,880,,1,1044,,,,1772
1,650,1,880,,1,1240,,,,1768
1,661,1,885,,1,1053,,,,1778
1,673,1,895,890,1,981,967,,,1787
1,675,1,895,891,1,1013,992,,,1788
1,678,1,900,,1,1000,,,,1794
1,680,1,900,,1,1405,,,,1796
1,685,1,905,,1,1110,,,,1801
1,688,1,905,899,1,1274,1253,,,1802
1,694,1,910,903,1,1020,1029,,,1810
1,693,1,910,903,1,1020,1029,,,1811
1,705,1,915,,1,1051,,,,1819
1,700,1,915,,1,1080,,,,1817
1,701,1,915,,1,1090,,,,1818
1,704,1,915,923,1,1107,1114,,,1820
1,709,1,920,,1,1035,,,,1826
1,710,1,920,,1,1100,,,,1827
1,711,1,920,,1,1105,,,,1828
1,719,1,929,929,1,1114,1118,,,1834
1,722,1,930,,1,1029,,,,1838
1,724,1,935,1008,1,960,1001,,,1841
1,728,1,935,928,1,1009,1005,,,1844
1,725,1,935,,1,1010,,,,1842
1,731,1,935,954,1,1137,425,,,1845
1,727,1,935,968,1,1137,1128,,,1846
1,734,1,945,,1,1095,,,,1853
1,738,1,945,949,1,1171,437,,,1854
1,736,1,945,953,1,1405,1395,,,1852
1,741,1,950,,1,1103,,,,1856
1,740,1,950,953,1,1192,1174,,,1857
1,742,1,950,,1,1226,,,,1858
1,743,1,950,,1,1226,,,,1859
1,744,1,950,,1,1234,,,,1860
1,747,1,950,,1,1439,,,,1861
1,748,1,951,,1,1081,,,,1864
1,749,1,955,,1,1045,,,,1865
1,750,1,955,,1,1130,,,,1867
1,760,1,960,,1,1130,,,,1876
1,764,1,960,973,1,1145,1141,,,1877
1,767,1,965,963,1,1056,332,,,1883
1,766,1,965,,1,1195,,,,1882
1,1149,1,965,,1,1195,,,,1884
1,769,1,966,,1,1433,,,,1886
1,772,1,970,,1,1117,,,,1888
1,773,1,975,986,1,1130,1129,,,1890
1,774,1,975,,1,1155,,,,1891
1,776,1,975,,1,1195,,,,1893
1,1150,1,975,,1,1325,,,,1894
1,777,1,976,,1,1175,,,,1896
1,781,1,982,,1,1202,,,,1900
1,790,1,985,,1,1185,,,,1904
1,791,1,986,,1,1076,,,,1910
1,799,1,995,,1,1030,,,,1918
1,800,1,995,,1,1145,,,,1920
1,803,1,999,,1,1062,,,,1922
1,808,1,1000,1047,1,1117,1172,,,1927
1,805,1,1000,1020,1,1130,1120,,,1925
1,812,1,1005,,1,1080,,,,1931
1,813,1,1005,,1,1102,,,,1932
1,816,1,1005,,1,1177,,,,1933
1,822,1,1010,1010,1,1196,1187,,,1938
1,824,1,1010,,1,1210,,,,1939
1,826,1,1015,1056,1,1200,1224,,,1944
1,833,1,1020,,1,1145,,,,1950
1,834,1,1020,,1,1195,,,,1951
1,840,1,1025,1027,1,1055,1016,,,1957
1,1155,1,1035,,1,1130,,,,1965
1,852,1,1040,,1,1230,,,,1970
1,856,1,1045,,1,1190,,,,1974
1,858,1,1045,,1,1213,,,,1975
1,866,1,1050,330,1,1120,425,,,1983
1,867,1,1050,1047,1,1205,1187,,,1984
1,876,1,1060,1049,1,1299,1282,,,1991
1,880,1,1065,,1,1196,,,,1996
1,881,1,1065,1063,1,1267,1262,,,1997
1,870,1,1065,1093,1,1420,702,,,1995
1,883,1,1066,,1,1282,,,,1999
1,885,1,1070,,1,1240,,,,2001
1,889,1,1075,,1,1223,,,,2005
1,894,1,1080,1083,1,1115,1086,,,2010
1,895,1,1080,356,1,1175,398,,,2012
1,896,1,1080,,1,1270,,,,2011
1,903,1,1085,1138,1,1165,1191,,,2020
1,906,1,1085,,1,1187,,,,2023
1,908,1,1090,,1,1188,,,,2024
1,911,1,1095,,1,1285,,,,2027
1,912,1,1095,1119,1,1300,579,,,2028
1,916,1,1098,378,1,1168,448,,,2031
1,921,1,1100,,1,1251,,,,2033
1,923,1,1105,1095,1,1175,1158,,,2038
1,927,1,1110,,1,5,,,,2044
1,1157,1,1110,,1,1215,,,,2043
1,930,1,1110,1142,1,1235,1268,,,2046
1,931,1,1112,,1,1213,,,,2047
1,935,1,1125,,1,1270,,,,2053
1,947,1,1136,416,1,1171,460,,,2065
1,949,1,1140,1141,1,1295,1275,,,2066
1,956,1,1145,,1,1243,,,,2075
1,957,1,1145,1168,1,1252,1260,,,2076
1,963,1,1150,,1,1241,,,,2081
1,1160,1,1155,,1,1245,,,,2090
1,973,1,1155,,1,1254,,,,2091
1,975,1,1155,,1,1315,,,,2092
1,982,1,1162,1157,1,1250,1219,,,2102
1,984,1,1168,,1,1156,,,,2104
1,1161,1,1170,1181,1,1260,1256,,,2106
1,988,1,1170,,1,1364,,,,2109
1,992,1,1175,1228,1,15,24,,,2112
1,999,1,1180,465,1,44,744,,,2118
1,995,1,1180,1185,1,1265,1235,,,2115
1,1002,1,1185,1189,1,1358,1355,,,2122
1,1006,1,1200,,1,1245,,,,2127
1,1008,1,1200,,1,1288,,,,2129
1,1007,1,1200,,1,1310,,,,2128
1,1014,1,1210,,1,1370,,,,2133
1,1021,1,1220,,1,1285,,,,2141
1,1024,1,1225,,1,1336,,,,2144
1,1023,1,1225,509,1,1430,683,,,2143
1,1028,1,1230,1220,1,1333,1314,,,2147
1,1029,1,1235,1236,1,1270,1236,,,2148
1,1031,1,1240,,1,1405,,,,2150
1,1034,1,1250,11,1,1355,105,,,2152
1,1038,1,1251,,1,1360,,,,2156
1,1042,1,1255,1255,1,1383,656,,,2159
1,1044,1,1255,1256,1,1387,656,,,2160
1,1039,1,1255,1262,1,1425,1427,,,2158
1,1045,1,1260,1273,1,1350,1337,,,2164
1,1049,1,1260,1260,1,1401,686,,,2167
1,1051,1,1265,1276,1,7,1419,,,2171
1,1053,1,1270,1284,1,5,704,,,2173
1,1060,1,1280,562,1,325,313,,,2180
1,1061,1,1280,1293,1,330,290,,,2181
1,1166,1,1300,1307,1,1360,1344,,,2192
1,1075,1,1305,,1,15,,,,2197
1,1074,1,1305,,1,1435,,,,2196
1,1077,1,1310,,1,1420,,,,2199
1,1078,1,1315,,1,1340,,,,2200
1,1087,1,1335,,1,15,,,,2210
1,1093,1,1340,1356,1,30,19,,,2214
1,1097,1,1350,,1,25,,,,2218
1,1099,1,1350,,1,75,,,,2220
1,1102,1,1360,651,1,442,413,,,2222
1,1105,1,1370,,1,105,,,,2224
1,1109,1,1380,,1,400,,,,2228
1,1112,1,1390,,1,259,,,,2231
1,1114,1,1405,1435,1,415,435,,,2233
1,1117,1,1435,730,1,350,349,,,2236
1,4,2,111,,2,560,,,,2244
1,7,2,330,,2,506,,,,2245
1,1168,2,330,,2,540,,,,2246
1,15,2,342,,2,505,,,,2252
1,17,2,350,,2,485,,,,2255
1,18,2,350,,2,560,,,,2256
1,20,2,360,,2,400,,,,2258
1,24,2,360,,2,485,,,,2261
1,39,2,360,375,2,494,473,,,2263
1,42,2,365,,2,465,,,,2272
1,48,2,370,372,2,478,445,,,2278
1,52,2,370,386,2,483,468,,,2279
