source,entity,brand,num,condition,day
6,101_3,Canon,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
1,101_4,Canon,23.54608579,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
2,101_4,Canon,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
3,101_4,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
4,101_4,Canon,20.43863873,Preset;Auto,1
5,101_4,Canon,25.09430782,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
6,101_4,Canon,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
1,101_5,Canon,23.54608579,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
2,101_5,Canon,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
3,101_5,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
4,101_5,Canon,20.43863873,Preset;Auto,1
5,101_5,Canon,25.09430782,Preset;User Defined;Clor Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
6,101_5,Canon,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
1,13_1,Nikon,,,
2,13_1,Nikon,16.2,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten,1
3,13_1,Nikon,,,
4,13_1,Nikon,16.2,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning,1
5,13_1,Nikon,,,
6,13_1,Nikon,,Preset Manual;Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto,1
1,13_2,Nikon,,,
2,13_2,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
3,13_2,Nikon,,,
4,13_2,Nikon,17.45761761,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
5,13_2,Nikon,,,
6,13_2,Nikon,,Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
1,13_3,Nikon,,,
2,13_3,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
3,13_3,Nikon,,,
4,13_3,Nikon,17.45761761,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
5,13_3,Nikon,,,
6,13_3,Nikon,,Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
1,13_4,Nikon,,,
2,13_4,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
3,13_4,Nikon,,,
4,13_4,Nikon,17.45761761,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
5,13_4,Nikon,,,
6,13_4,Nikon,,Shade;Color Temperature;Cloudy;Fluorescent;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
1,13_5,Nikon,,,
2,13_5,Nikon,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
3,13_5,Nikon,,,
4,13_5,Nikon,17.45761761,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
5,13_5,Nikon,,,
6,13_5,Nikon,,Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
1,18_1,Canon,19,Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting,1
2,18_1,Canon,18,Cloudy;Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten,1
3,18_1,Canon,,,
4,18_1,Canon,19,White Balance Presets;Custom White Balance;Auto;Preset;Custom;Colour temperature setting,1
5,18_1,Canon,,,
6,18_1,Canon,,Auto;Preset;Custom;Color Temperature Setting,1
1,18_2,Canon,17.80193374,Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting;Auto,1
2,18_2,Canon,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten;Cloudy,1
3,18_2,Canon,,,
4,18_2,Canon,19.72810603,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Presets,1
5,18_2,Canon,,,
6,18_2,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
1,18_3,Canon,17.80193374,Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting;Auto,1
2,18_3,Canon,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Cloudy,1
3,18_3,Canon,,,
4,18_3,Canon,19.72810603,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Presets,1
5,18_3,Canon,,,
6,18_3,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
1,18_4,Canon,17.80193374,Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Temperature Setting;Auto,1
2,18_4,Canon,18.39080655,Daylight;Sunny;Flash;Fluorescent;Haloge;Incandescent;Shade;Tungsten;Cloudy,1
3,18_4,Canon,,,
4,18_4,Canon,19.72810603,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Presets,1
5,18_4,Canon,,,
6,18_4,Canon,,Preset;Custom;Color Temperature Settings;Auto,1
1,18_5,Canon,17.80193374,Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting;Auto,1
2,18_5,Canon,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten,1
3,18_5,Canon,,,
4,18_5,Canon,19.72810603,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Preset,1
5,18_5,Canon,,,
6,18_5,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
1,19_1,Nikon,24.7,Auto;Preset,1
2,19_1,Nikon,24,Cloudy;Flash;Fluorescent,1
3,19_1,Nikon,,,
4,19_1,Nikon,25,White Balance Presets;Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning,1
5,19_1,Nikon,25,Auto;Preset,1
6,19_1,Nikon,,,
1,19_2,Nikon,26.81607815,Preset;Auto,1
2,19_2,Nikon,22.07742669,Flash;Fluorescent;Cloudy,1
3,19_2,Nikon,,,
4,19_2,Nikon,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,19_2,Nikon,26.39369653,Preset;Auto,1
6,19_2,Nikon,,,
1,19_3,Nikon,26.81607815,Preset;Auto,1
2,19_3,Nikon,22.07742669,Flash;Fluorescent;Cloudy,1
3,19_3,Nikon,,,
4,19_3,Nikon,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,19_3,Nikon,26.39369653,Preset,1
6,19_3,Nikon,,,
1,19_4,Nikon,26.81607815,Preset;Auto,1
2,19_4,Nikon,22.07742669,Flash;Fluorescent;Cloudy,1
3,19_4,Nikon,,,
4,19_4,Nikon,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,19_4,Nikon,26.39369653,Preset,1
6,19_4,Nikon,,,
1,19_5,Nikon,26.81607815,Presets;Auto,1
2,19_5,Nikon,22.07742669,Flash;Fluorescent;Cloudy,1
3,19_5,Nikon,,,
4,19_5,Nikon,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,19_5,Nikon,26.39369653,Preset;Auto,1
6,19_5,Nikon,,,
1,23_1,Canon,19,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
2,23_1,Canon,18,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater,1
3,23_1,Canon,,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
4,23_1,Canon,18,White Balance Presets;Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom,1
5,23_1,Canon,19,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
6,23_1,Canon,,,
1,23_2,Canon,18.42878059,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
2,23_2,Canon,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
3,23_2,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
4,23_2,Canon,16.6899513,Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Presets,1
5,23_2,Canon,20.5152103,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
6,23_2,Canon,,,
1,23_3,Canon,18.42878059,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
2,23_3,Canon,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
3,23_3,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
4,23_3,Canon,16.6899513,Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Presets,1
5,23_3,Canon,20.5152103,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
6,23_3,Canon,,,
1,23_4,Canon,18.42878059,Preset;User Defined;Color Temperatures Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
2,23_4,Canon,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
3,23_4,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
4,23_4,Canon,16.6899513,Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Preset,1
5,23_4,Canon,20.5152103,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
6,23_4,Canon,,,
1,23_5,Canon,18.42878059,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
2,23_5,Canon,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
3,23_5,Canon,,Preset;User Defined;Color Temperature Setting;Bracketing;Available,1
4,23_5,Canon,16.6899513,Custom White;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Presets,1
5,23_5,Canon,20.5152103,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
6,23_5,Canon,,,
1,41_1,Nikon,24.7,Auto;Preset,1
2,41_1,Nikon,24.1,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
3,41_1,Nikon,,Auto;Preset,1
4,41_1,Nikon,24.7,White Balance Presets;Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning,1
5,41_1,Nikon,,,
6,41_1,Nikon,,,
1,41_2,Nikon,26.43102536,Preset;Auto,1
2,41_2,Nikon,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1
3,41_2,Nikon,,Preset;Auto,1
4,41_2,Nikon,22.62696373,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,41_2,Nikon,,,
6,41_2,Nikon,,,
1,41_3,Nikon,26.43102536,Preset;Auto,1
2,41_3,Nikon,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Rainy;Tungsten;Cloudy,1
3,41_3,Nikon,,Preset;Auto,1
4,41_3,Nikon,22.62696373,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,41_3,Nikon,,,
6,41_3,Nikon,,,
1,41_4,Nikon,26.43102536,Preset,1
2,41_4,Nikon,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1
3,41_4,Nikon,,Preset;Auto,1
4,41_4,Nikon,22.62696373,Custom White Balance;Auto;incandescence;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,41_4,Nikon,,,
6,41_4,Nikon,,,
1,41_5,Nikon,26.43102536,Preset,1
2,41_5,Nikon,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1
3,41_5,Nikon,,Preset;Auto,1
4,41_5,Nikon,22.62696373,Custom White Balance;Auto;incandescent;flscent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
5,41_5,Nikon,,,
6,41_5,Nikon,,,
1,44_1,Nikon,24.7,Auto;Preset,1
2,44_1,Nikon,24.2,Artificial;Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
3,44_1,Nikon,,Auto;Preset,1
4,44_1,Nikon,24.2,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance,1
5,44_1,Nikon,24.7,Auto;Preset,1
6,44_1,Nikon,,Incandescent;Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight,1
1,44_2,Nikon,26.97124798,Preset;Auto,1
2,44_2,Nikon,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,44_2,Nikon,,Preset;Auto,1
4,44_2,Nikon,24.53992339,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance;Auto,1
5,44_2,Nikon,26.13044921,Preset;Auto,1
6,44_2,Nikon,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight;Incandescent,1
1,44_3,Nikon,26.97124798,Preset;Auto,1
2,44_3,Nikon,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,44_3,Nikon,,Preset;Auto,1
4,44_3,Nikon,24.53992339,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance;Auto,1
5,44_3,Nikon,26.13044921,Preset;Auto,1
6,44_3,Nikon,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight;Incandescent,1
1,44_4,Nikon,26.97124798,Preset;Auto,1
2,44_4,Nikon,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,44_4,Nikon,,Preset;Auto,1
4,44_4,Nikon,24.53992339,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance;Auto,1
5,44_4,Nikon,26.13044921,Preset;Auto,1
6,44_4,Nikon,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight;Incandescent,1
1,44_5,Nikon,26.97124798,Preset;Autos,1
2,44_5,Nikon,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,44_5,Nikon,,Preset;Auto,1
4,44_5,Nikon,24.53992339,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance;Auto,1
5,44_5,Nikon,26.13044921,Preset;Auto,1
6,44_5,Nikon,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight;Incandescent,1
1,48_1,Canon,,,
2,48_1,Canon,12.1,Cloudy;Daylight;Sunny;Flash;Fluorescent;Tungsten,1
3,48_1,Canon,,,
4,48_1,Canon,12.1,Auto;Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation,1
5,48_1,Canon,,,
6,48_1,Canon,,Daylight;White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash,1
1,48_2,Canon,,,
2,48_2,Canon,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,48_2,Canon,,,
4,48_2,Canon,12.79755124,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
5,48_2,Canon,,,
6,48_2,Canon,,White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
1,48_3,Canon,,,
2,48_3,Canon,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,48_3,Canon,,,
4,48_3,Canon,12.79755124,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
5,48_3,Canon,,,
6,48_3,Canon,,White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
1,48_4,Canon,,,
2,48_4,Canon,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,48_4,Canon,,,
4,48_4,Canon,12.79755124,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
5,48_4,Canon,,,
6,48_4,Canon,,White Balance Compensation;Tungssn;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
1,48_5,Canon,,,
2,48_5,Canon,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,48_5,Canon,,,
4,48_5,Canon,12.79755124,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
5,48_5,Canon,,,
6,48_5,Canon,,White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
1,570_1,Nikon,,,
2,570_1,Nikon,36.3,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten,1
3,570_1,Nikon,,,
4,570_1,Nikon,37,Custom White Balance;White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning,1
5,570_1,Nikon,,,
6,570_1,Nikon,36.3,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning,1
1,570_2,Nikon,,,
2,570_2,Nikon,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
3,570_2,Nikon,,,
4,570_2,Nikon,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
5,570_2,Nikon,,,
6,570_2,Nikon,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
1,570_3,Nikon,,,
2,570_3,Nikon,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
3,570_3,Nikon,,,
4,570_3,Nikon,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
5,570_3,Nikon,,,
6,570_3,Nikon,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
1,570_4,Nikon,,,
2,570_4,Nikon,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
3,570_4,Nikon,,,
4,570_4,Nikon,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
5,570_4,Nikon,,,
6,570_4,Nikon,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
1,570_5,Nikon,,,
2,570_5,Nikon,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
3,570_5,Nikon,,,
4,570_5,Nikon,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
5,570_5,Nikon,,,
6,570_5,Nikon,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
1,58_1,Nikon,,,
2,58_1,Nikon,10.1,Artificial;Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
3,58_1,Nikon,,,
4,58_1,Nikon,10.1,White Balance Presets;Custom White Balance,1
5,58_1,Nikon,,,
6,58_1,Nikon,,Preset Manual;Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight,1
1,58_2,Nikon,,,
2,58_2,Nikon,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,58_2,Nikon,,,
4,58_2,Nikon,9.197391018,Custom White Balance;White Balance Presets,1
5,58_2,Nikon,,,
6,58_2,Nikon,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight;Preset Manual,1
1,58_3,Nikon,,,
2,58_3,Nikon,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,58_3,Nikon,,,
4,58_3,Nikon,9.197391018,Custom White Balance;White Balance Presets,1
5,58_3,Nikon,,,
6,58_3,Nikon,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct;Preset Manual,1
1,58_4,Nikon,,,
2,58_4,Nikon,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
3,58_4,Nikon,,,
4,58_4,Nikon,9.197391018,Custom White Balance;White Balance Presets,1
5,58_4,Nikon,,,
6,58_4,Nikon,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight;Preset Manual,1
1,58_5,Nikon,,,
2,58_5,Nikon,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Auto,1
3,58_5,Nikon,,,
4,58_5,Nikon,9.197391018,Custom White Balance;White Balance Preset,1
5,58_5,Nikon,,,
6,58_5,Nikon,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight;Preset Manual,1
1,6_1,Nikon,24.78,Auto;Preset,1
2,6_1,Nikon,24,Cloudy;Flash;Fluorescent,1
3,6_1,Nikon,,Auto;Preset,1
4,6_1,Nikon,25,Custom White Balance;White Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning,1
5,6_1,Nikon,24,Auto;Preset,1
6,6_1,Nikon,,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning,1
1,6_2,Nikon,26.10498612,Preset;Auto,1
2,6_2,Nikon,22.07789275,Flash;Fluorescent;Cloudy,1
3,6_2,Nikon,,Preset;Auto,1
4,6_2,Nikon,23.06500085,White Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;Custom White Balance,1
5,6_2,Nikon,24.39181204,Preset;Auto,1
6,6_2,Nikon,,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning;Auto,1
1,6_3,Nikon,26.10498612,Preset;Auto,1
