entity_id,website,number,image_resolution,screen_size,brand
ENTITY#34,www.shopmania.in,1617,16 MP,3\,Canon PowerShot SX160 IS
ENTITY#34,www.pricedekho.com,1196,NA,3 Inches,Canon
ENTITY#41,www.shopmania.in,1003,24.1 MP,3\,Nikon D5200 kit 18-55mm
ENTITY#41,www.gosale.com,832,24.3,3.0,Nikon
ENTITY#41,www.pricedekho.com,1277,24.3,3 Inches,Nikon
ENTITY#41,www.mypriceindia.com,103,24.7 MP,3.0,Nikon
ENTITY#41,www.ebay.com,46367,24.1 MP,3\,Nikon
ENTITY#44,www.pricedekho.com,983,24.2 MP,3 Inches,Nikon
ENTITY#44,www.ebay.com,41940,24.2 MP,3\,Nikon
ENTITY#44,www.shopmania.in,950,24.2 MP,3\,Nikon D3200 kit 18-55mm
ENTITY#44,www.mypriceindia.com,714,24.2 MP,3.0,Nikon
ENTITY#44,www.gosale.com,848,24.2,3.0,Nikon
ENTITY#45,www.ebay.com,55610,16.0 MP,3\,Canon
ENTITY#45,www.pricedekho.com,1038,16 MP,3 Inches,Canon
ENTITY#45,www.mypriceindia.com,711,16.0 MP,3.0,Canon
ENTITY#45,www.shopmania.in,1712,16 MP,3\,Canon PowerShot SX170 IS
ENTITY#45,www.gosale.com,813,16.0,3.0,Canon
ENTITY#48,www.mypriceindia.com,172,12.1 MP,2.7999999999999994,Canon
ENTITY#48,www.pricedekho.com,750,NA,2.8 Inches,Canon
ENTITY#48,www.ebay.com,54526,12.1 MP,2.8\,Canon
ENTITY#48,www.shopmania.in,665,12.1 MP,2.8\,Canon SX50 HS
ENTITY#48,www.gosale.com,1276,12.1,2.7999999999999994,Canon
ENTITY#53,www.pricedekho.com,1148,10.733333333333334,3 Inches,Nikon
ENTITY#53,www.ebay.com,60578,10.1 MP,3\,Nikon
ENTITY#53,www.shopmania.in,1478,10.1 MP,3\,Nikon 1 V1 kit 10-30mm + 30-110mm
ENTITY#53,www.gosale.com,592,10.733333333333334,3.0,Nikon
ENTITY#53,www.mypriceindia.com,759,12 MP,3.0,Nikon
ENTITY#57,www.shopmania.in,1646,36.3 MP,3.2\,Nikon D800 body
ENTITY#57,www.mypriceindia.com,63,37 MP,3.2000000000000006,Nikon
ENTITY#57,www.pricedekho.com,1022,36.3 MP,3.2 Inche,Nikon
ENTITY#57,www.gosale.com,555,36.474999999999994,3.2000000000000006,Nikon
ENTITY#57,www.ebay.com,44888,36.3 MP,3.2\,Nikon
ENTITY#570,www.gosale.com,1175,36.53333333333333,3.2000000000000006,Nikon
ENTITY#570,www.shopmania.in,929,36.3 MP,3.2\,Nikon D800E body
ENTITY#570,www.ebay.com,42898,36.3 MP,3.2\,Nikon
ENTITY#570,www.mypriceindia.com,126,37 MP,3.2000000000000006,Nikon
ENTITY#570,www.pricedekho.com,1197,36.53333333333333,3.2 Inches,Nikon
ENTITY#59,www.mypriceindia.com,142,20.1 MP,3.0666666666666664,Nikon
ENTITY#59,www.ebay.com,24741,20.1 MP,3\,Nikon
ENTITY#59,www.pricedekho.com,1093,NA,3 Inches,Nikon
ENTITY#59,www.shopmania.in,932,20 MP,3.2\,Nikon COOLPIX L30
ENTITY#59,www.gosale.com,1484,20.066666666666666,3.0666666666666664,Nikon
ENTITY#6,www.pricedekho.com,1233,NA,3.2 Inches,Nikon
ENTITY#6,www.ebay.com,47728,24.2 MP,3.2\,Nikon
ENTITY#6,www.shopmania.in,1721,24 MP,3.2\,Nikon D5300 kit 18-55mm
ENTITY#6,www.mypriceindia.com,16,25 MP,3.2000000000000006,Nikon
ENTITY#6,www.gosale.com,1244,24.400000000000002,3.2000000000000006,Nikon
ENTITY#64,www.pricedekho.com,1152,12.075000000000001,3 Inches,Canon
ENTITY#64,www.mypriceindia.com,98,12.1 MP,3.0,Canon
ENTITY#64,www.gosale.com,853,12.1 MP,3.0,Canon
ENTITY#64,www.shopmania.in,1019,12 MP,3\,Canon PowerShot SX510 HS
ENTITY#64,www.ebay.com,43715,12.1 MP,3\,Canon
ENTITY#67,www.mypriceindia.com,687,16 MP,2.7000000000000006,Canon
ENTITY#67,www.ebay.com,46947,16.0 MP,2.7\,Canon
ENTITY#67,www.shopmania.in,1352,16 MP,2.7\,Canon A2400 IS
ENTITY#67,www.gosale.com,1314,16.0,2.7000000000000006,Canon
ENTITY#67,www.pricedekho.com,1083,16 MP,2.7 Inches,Canon
ENTITY#7,www.pricedekho.com,820,16.366666666666667,3 Inches,Olympus
ENTITY#7,www.ebay.com,25067,16.1 MP,3\,Olympus
ENTITY#7,www.gosale.com,544,16.366666666666667,3.0,Olympus
ENTITY#7,www.shopmania.in,1043,16.1 MP,3\,Olympus OM-D E-M5 body
ENTITY#7,www.mypriceindia.com,185,16.9 MP,3.0,Olympus
ENTITY#72,www.gosale.com,1245,36.53333333333333,3.2000000000000006,Nikon
ENTITY#72,www.shopmania.in,1507,36.3 MP,3.2\,Nikon D810 body
ENTITY#72,www.ebay.com,45883,36.3 MP,3.2\,Nikon
ENTITY#72,www.pricedekho.com,738,36.53333333333333,3.2 Inches,Nikon
ENTITY#72,www.mypriceindia.com,193,37 MP,3.2000000000000006,Nikon
ENTITY#73,www.pricedekho.com,1016,16 MP,3 Inches,Nikon
ENTITY#73,www.shopmania.in,1102,16 MP,3\,Nikon COOLPIX P530
ENTITY#73,www.ebay.com,52712,16.1 MP,3\,Nikon
ENTITY#73,www.gosale.com,874,16.05,3.0,Nikon
ENTITY#73,www.mypriceindia.com,56,16.1 MP,3.0,Nikon
ENTITY#75,www.ebay.com,43911,16.2 MP,3\,Nikon
ENTITY#75,www.gosale.com,1066,16.2 MP,3.0,Nikon
ENTITY#75,www.mypriceindia.com,213,17 MP,3.0,Nikon
ENTITY#75,www.pricedekho.com,1230,NA,3 Inches,Nikon
ENTITY#75,www.shopmania.in,1284,16.2 MP,3\,Nikon D7000 body
ENTITY#76,www.pricedekho.com,967,24.3 MP,3.2 Inches,Nikon
ENTITY#76,www.ebay.com,54575,24.3 MP,3.2\,Nikon
ENTITY#76,www.gosale.com,987,24.224999999999998,3.2000000000000006,Nikon
ENTITY#76,www.shopmania.in,1138,24 MP,3.2\,Nikon D610 body
ENTITY#76,www.mypriceindia.com,730,24.3 MP,3.2000000000000006,Nikon
ENTITY#80,www.ebay.com,56496,12.0 MP,2.8\,Fujifilm
ENTITY#80,www.mypriceindia.com,113,12 MP,2.7999999999999994,Fujifilm
ENTITY#80,www.pricedekho.com,961,12 MP,2.8 Inches,Fujifilm
ENTITY#80,www.shopmania.in,1341,12 MP,2.8\,Fujifilm X10
ENTITY#80,www.gosale.com,470,12.0,2.7999999999999994,Fuji Photo Film
ENTITY#81,www.shopmania.in,859,14 MP,3\,Fujifilm SL300
ENTITY#81,www.mypriceindia.com,83,14.0 MP,3.0,Fujifilm SL300
ENTITY#81,www.gosale.com,729,14.0,3.0,Fuji Photo Film
ENTITY#81,www.ebay.com,56176,14.0 MP,3\,Fujifilm
ENTITY#81,www.pricedekho.com,1088,14 MP,3 Inche,Fujifilm SL300
ENTITY#87,www.ebay.com,43303,12.2 MP,3\,Nikon
ENTITY#87,www.shopmania.in,1700,12 MP,3\,Nikon COOLPIX P7800
ENTITY#87,www.gosale.com,611,12.133333333333333,3.0,Nikon
ENTITY#87,www.mypriceindia.com,99,12.2 MP,3.0,Nikon
ENTITY#87,www.pricedekho.com,1255,12.133333333333333,3 Inches,Nikon
ENTITY#91,www.pricedekho.com,752,10.1,3 Inches,Panasonic
ENTITY#91,www.mypriceindia.com,694,10.1 MP,3.0,Panasonic
ENTITY#91,www.shopmania.in,1547,10.1 MP,3\,Panasonic DMC-LX7
ENTITY#91,www.gosale.com,1213,10.1,3.0,Panasonic
ENTITY#91,www.ebay.com,48557,10.1 MP,3\,Panasonic
ENTITY#96,www.shopmania.in,1576,20 MP,3\,Canon EOS 70D body
ENTITY#96,www.ebay.com,43477,20.2 MP,3\,Canon
ENTITY#96,www.pricedekho.com,771,20.133333333333336,3 Inches,Canon
ENTITY#96,www.mypriceindia.com,181,20.2 MP,3.0,Canon
ENTITY#96,www.gosale.com,960,20.133333333333336,3.0,Canon
