source,entity,domain
6,181,1732597
7,181,1732597
8,181,1732597
9,181,1732597
10,181,1735871
11,181,1732597
12,181,1735871
13,181,1732597
14,181,1732597
15,181,1732597
16,181,1735871
17,181,1735571
18,181,1583241
19,181,1736983
20,181,1740000
21,181,1732597
22,181,1732597
23,181,1590978
24,181,
25,181,
26,181,1713200
27,181,4338
28,181,1732597
29,181,1740000
30,181,1735871
31,181,1728453
32,181,1732597
33,181,1739147
34,181,1736783
35,181,1246449
36,181,1735871
37,181,1732597
38,181,4338
39,181,1614017
40,181,
41,181,1735871
42,181,1732597
43,181,1740000
44,181,219295
45,181,
46,181,1732597
47,181,1735671
48,181,1735771
49,181,1735771
50,181,1732472
51,181,1734459
52,181,1732597
53,181,1735671
54,181,
55,181,
1,201,3756676
2,201,3491388
3,201,3753000
4,201,3756676
5,201,3734101
6,201,3734101
7,201,3734101
8,201,3734101
9,201,3734101
10,201,3753220
11,201,3401923
12,201,3756676
13,201,3734101
14,201,3734101
15,201,3734101
16,201,3756676
17,201,3648970
18,201,2959231
19,201,3756676
20,201,3760000
21,201,3734101
22,201,3734101
23,201,2798191
24,201,
25,201,
26,201,3719400
27,201,105735
28,201,3734101
29,201,3760000
30,201,3756676
31,201,3243565
32,201,3734101
33,201,3760121
34,201,3756076
35,201,3756676
36,201,3756676
37,201,3734101
38,201,105735
39,201,3140320
40,201,
41,201,3756676
42,201,3734101
43,201,3750000
44,201,652275
45,201,
46,201,3401923
47,201,3755876
48,201,3753220
49,201,3756676
50,201,3736240
51,201,3753220
52,201,3734101
53,201,3755876
54,201,
55,201,
1,205,35364980
2,205,35563449
3,205,35198000
4,205,35364980
5,205,35313303
6,205,35313303
7,205,35313303
8,205,35313186
9,205,35313186
10,205,35364863
11,205,35310810
12,205,35364863
13,205,35313186
14,205,35313186
15,205,35313186
16,205,35364863
17,205,35351600
18,205,29993796
19,205,35470586
20,205,35360000
21,205,35313186
22,205,35313186
23,205,34117938
24,205,
25,205,
26,205,34935700
27,205,336014
28,205,35313186
29,205,35360000
30,205,35364863
31,205,35106383
32,205,35313186
33,205,35522213
34,205,35457324
35,205,14119846
36,205,36729928
37,205,35313186
38,205,338390
39,205,30856084
40,205,
41,205,35372070
42,205,35320393
43,205,35360000
44,205,5534633
45,205,
46,205,35310810
47,205,35351600
48,205,35364863
49,205,35359587
50,205,35443640
51,205,35197567
52,205,35310810
53,205,35351601
54,205,
55,205,
1,209,49656896
2,209,52906935
3,209,49014000
4,209,49654988
5,209,49609073
6,209,49609073
7,209,49611073
8,209,49542848
9,209,49542848
10,209,49013680
11,209,49541028
12,209,49590671
13,209,49542848
14,209,49542848
15,209,49542848
16,209,49590671
17,209,49583792
18,209,41347340
19,209,49704484
20,209,49590000
21,209,49542848
22,209,49542848
23,209,48608797
24,209,
25,209,
26,209,49246600
27,209,556109
28,209,49542848
29,209,49590000
30,209,49590671
31,209,48588326
32,209,49542848
33,209,51205580
34,209,49697608
35,209,34164149
36,209,53240720
37,209,49542848
38,209,556109
39,209,40478223
40,209,
41,209,49663596
42,209,49615773
43,209,49590000
44,209,8315459
45,209,
46,209,49541028
47,209,49583792
48,209,49590671
49,209,49590671
50,209,49693954
51,209,49013680
52,209,49542848
53,209,49583793
54,209,
55,209,
1,214,2153833
2,214,2048539
3,214,2154000
4,214,2153733
5,214,2149063
6,214,2149063
7,214,2149063
8,214,2149063
9,214,2149063
10,214,2153733
11,214,2011358
12,214,2153733
13,214,2149063
14,214,2149063
15,214,2149063
16,214,2153733
17,214,2153533
18,214,2153733
19,214,2155355
20,214,2150000
21,214,2149063
22,214,2149063
23,214,1916042
24,214,
25,214,
26,214,2132000
27,214,19862
28,214,2149063
29,214,2150000
30,214,2153733
31,214,2019712
32,214,2149063
33,214,2160365
34,214,2155155
35,214,2153733
36,214,2153733
37,214,2149063
38,214,19862
39,214,1848771
40,214,
41,214,2153733
42,214,2149063
43,214,2150000
44,214,257333
45,214,
46,214,2011358
47,214,2153533
48,214,2153733
49,214,2153733
50,214,2144806
51,214,2153733
52,214,2149063
53,214,2153533
54,214,
55,214,
1,216,1561430
2,216,1403671
3,216,1561000
4,216,1561430
5,216,1559930
6,216,1561090
7,216,1561090
8,216,1559930
9,216,1559930
10,216,1561330
11,216,1559930
12,216,1561430
13,216,1559930
14,216,1559930
15,216,1559930
16,216,1561430
17,216,1561330
18,216,1561430
19,216,1599629
20,216,1560000
21,216,1559930
22,216,1559930
23,216,1300448
24,216,
25,216,
26,216,1541100
27,216,44102
28,216,1559930
29,216,1560000
30,216,1561430
31,216,1446602
32,216,1559930
33,216,1599629
34,216,1599529
35,216,1969026
36,216,1561430
37,216,1559930
38,216,44102
39,216,1299851
40,216,
41,216,1564049
42,216,1562549
43,216,1560000
44,216,255490
45,216,
46,216,1559930
47,216,1561330
48,216,1561430
49,216,1561330
50,216,1591721
51,216,1561330
52,216,1559930
53,216,1561330
54,216,
55,216,
1,240,1521953
2,240,1425501
3,240,1500000
4,240,1521953
5,240,1514553
6,240,1514553
7,240,1514553
8,240,1514153
9,240,1514153
10,240,1521553
11,240,1414463
12,240,1521553
13,240,1514153
14,240,1514153
15,240,1514153
16,240,1521553
17,240,1518153
18,240,1499342
19,240,1522973
20,240,1520000
21,240,1514153
22,240,1514153
23,240,1282750
24,240,
25,240,
26,240,1484400
27,240,52081
28,240,1514153
29,240,1520000
30,240,1521553
31,240,1360277
32,240,1514153
33,240,0
34,240,1519973
35,240,1521553
36,240,1521553
37,240,1514153
38,240,52081
39,240,0
40,240,
41,240,1521953
42,240,1514553
43,240,1520000
44,240,268502
45,240,
46,240,1414463
47,240,1518553
48,240,1521053
49,240,1521053
50,240,1519473
51,240,1499542
52,240,1513653
53,240,1518553
54,240,
55,240,
1,267,2311938
2,267,2181175
3,267,2311000
4,267,2311938
5,267,2309338
6,267,2309338
7,267,2309338
8,267,2308385
9,267,2308385
10,267,2310885
11,267,2308385
12,267,2310985
13,267,2308385
14,267,2308385
15,267,2308385
16,267,2310985
17,267,2310885
18,267,2098356
19,267,2312138
20,267,2310000
21,267,2308385
22,267,2308385
23,267,2115663
24,267,
25,267,
26,267,2288900
27,267,1153
28,267,2308385
29,267,2310000
30,267,2310985
31,267,2307785
32,267,2308385
33,267,2312138
34,267,2312038
35,267,2310985
36,267,2310985
37,267,2308385
38,267,1153
39,267,0
40,267,
41,267,2311938
42,267,2309338
43,267,2310000
44,267,281722
45,267,
46,267,2308385
47,267,2310885
48,267,2310985
49,267,2310985
50,267,2306913
51,267,2310885
52,267,2308385
53,267,2310885
54,267,
55,267,
1,279,389270
2,279,380787
3,279,388870
4,279,389270
5,279,389170
6,279,389170
7,279,389170
8,279,388870
9,279,388870
10,279,388970
11,279,388870
12,279,388970
13,279,388870
14,279,388870
15,279,388870
16,279,388970
17,279,388970
18,279,314133
19,279,398715
20,279,388970
21,279,388870
22,279,388870
23,279,361795
24,279,
25,279,
26,279,395700
27,279,10554
28,279,388870
29,279,388970
30,279,388970
31,279,359725
32,279,388870
33,279,398715
34,279,398715
35,279,388970
36,279,388970
37,279,388870
38,279,10254
39,279,0
40,279,
41,279,389270
42,279,389170
43,279,388970
44,279,66473
45,279,
46,279,388870
47,279,388970
48,279,388970
49,279,388970
50,279,397215
51,279,388870
52,279,388870
53,279,388970
54,279,
55,279,
1,290,1967331
2,290,1834891
3,290,1962000
4,290,1967331
5,290,1966431
6,290,1966431
7,290,1966431
8,290,1966431
9,290,1966431
10,290,1962078
11,290,1966431
12,290,1967331
13,290,1966431
14,290,1966431
15,290,1966431
16,290,1967331
17,290,1967331
18,290,1967331
19,290,1969041
20,290,1970000
21,290,1966431
22,290,1966431
23,290,1753113
24,290,
25,290,
26,290,1943200
27,290,25559
28,290,1966431
29,290,1970000
30,290,1967331
31,290,1938061
32,290,1966431
33,290,1969041
34,290,1969041
35,290,1967331
36,290,1967331
37,290,1966431
38,290,25559
39,290,0
40,290,
41,290,1967891
42,290,1966991
43,290,1970000
44,290,235938
45,290,
46,290,1966431
47,290,1967331
48,290,1967331
49,290,1967331
50,290,1963312
51,290,1962078
52,290,1966431
53,290,1967331
54,290,
55,290,
1,291,1425728
2,291,1321614
3,291,1419000
4,291,1425728
5,291,1424057
6,291,1424057
7,291,1424057
8,291,1424057
9,291,1424057
10,291,1420778
11,291,1424057
12,291,1425728
13,291,1424057
14,291,1424057
15,291,1424057
16,291,1425728
17,291,1425728
18,291,1370855
19,291,1427326
20,291,1430000
21,291,1424057
22,291,1424057
23,291,1293351
24,291,
25,291,
26,291,1403200
27,291,8766
28,291,1424057
29,291,1430000
30,291,1425728
31,291,1393567
32,291,1424057
33,291,1427926
34,291,1427326
35,291,1977517
36,291,1425728
37,291,1424057
38,291,8766
39,291,1308530
40,291,
41,291,1425728
42,291,1424057
43,291,1430000
44,291,262922
45,291,
46,291,1424057
47,291,1425728
48,291,1420778
49,291,1425728
50,291,1421931
51,291,1418960
52,291,1424057
53,291,1425728
54,291,
55,291,
1,295,1127564
2,295,1062577
3,295,1119000
4,295,1127564
5,295,1127164
6,295,1127164
7,295,1127164
8,295,1127164
9,295,1127164
10,295,1127564
11,295,1126764
12,295,1127564
13,295,1127164
14,295,1127164
15,295,1127164
16,295,1127564
17,295,1124864
18,295,973555
19,295,1136464
20,295,1130000
21,295,1127164
22,295,1127164
23,295,1034781
24,295,
25,295,
26,295,1104500
27,295,14235
28,295,1127164
29,295,1130000
30,295,1127564
31,295,1114417
32,295,1127164
33,295,1136464
34,295,1133764
35,295,1127564
36,295,1127564
37,295,1127164
38,295,14235
39,295,0
40,295,
41,295,1127564
42,295,1127164
43,295,1130000
44,295,129060
45,295,
46,295,1126764
47,295,886436
48,295,1127164
49,295,1127164
50,295,1126473
51,295,1119417
52,295,1127164
53,295,1124864
54,295,
55,295,
1,322,979392
2,322,943581
3,322,974852
4,322,979392
5,322,978392
6,322,978392
7,322,978392
8,322,977948
9,322,977948
10,322,978829
11,322,977948
12,322,978948
13,322,977948
14,322,977948
15,322,977948
16,322,978948
17,322,978848
18,322,978948
19,322,979392
20,322,978948
21,322,977948
22,322,977948
23,322,890449
24,322,
25,322,
26,322,968700
27,322,6866
28,322,977948
29,322,978948
30,322,978948
31,322,955085
32,322,977948
33,322,982828
34,322,979292
35,322,978948
36,322,978948
37,322,977948
38,322,6866
39,322,0
40,322,
41,322,979392
42,322,978392
43,322,978950
44,322,223925
45,322,
46,322,977948
47,322,978848
48,322,978948
49,322,978948
50,322,975172
51,322,974852
52,322,977948
53,322,978848
54,322,
55,322,
1,325,2074561
2,325,1595832
3,325,2055000
4,325,2074561
5,325,2071661
6,325,2071661
7,325,2071661
8,325,2070701
9,325,2070701
10,325,2074211
11,325,1896847
12,325,2073601
13,325,2070701
14,325,2070701
15,325,2070701
16,325,2073601
17,325,2073101
18,325,1687399
19,325,2076990
20,325,2070000
21,325,2071311
22,325,2071311
23,325,1592073
24,325,
25,325,
26,325,2028200
27,325,15310
28,325,2070701
29,325,2070000
30,325,2073601
31,325,2052298
32,325,2070701
33,325,2079583
34,325,2076590
35,325,2073601
36,325,2074211
37,325,2070701
38,325,15920
39,325,1745863
40,325,
41,325,2074561
42,325,2071661
43,325,2070000
44,325,284779
45,325,
46,325,1896847
47,325,2073711
48,325,2055298
49,325,2055587
50,325,2066029
51,325,2055298
52,325,2070701
53,325,2073101
54,325,
