entity,source,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
39,4,Philips_Electronics,676,LCD Monitor,16:09,5,68.6,1
39,3,Philips_Electronics,1899,273E3LHSB Widescreen LCD Monitor,16:09,5,68.6,1
40,2,Philips_Electronics,14,TFT LCD 16.7 Million Colour,16:09,5,68.6,1
40,1,Philips_Electronics,405,LCD/TFT,16:09,5,68.6,1
40,4,Philips_Electronics,707,LCD Monitor,16:09,5,68.6,1
40,5,Philips_Electronics,888,LCD Monitor,16:09,5,68.6,1
41,1,Philips_Electronics,47,LCD/TFT,16:09,5,68.6,1
41,2,Philips_Electronics,124,TFT LCD 16.7 Million Colour,16:09,5,68.6,1
41,5,Philips_Electronics,135,LCD Monitor,16:09,5,68.6,1
41,4,Philips_Electronics,296,LCD Monitor,16:09,5,68.6,1
41,3,Philips_Electronics,701,LCD Monitor with SmartControl Lite,16:09,5,68.6,1
62,1,Philips_Electronics,232,IPS,16:10,14,61,1
62,2,Philips_Electronics,245,IPS TFT LCD 16.7 Million Colour,16:10,14,61,1
62,5,Philips_Electronics,464,LCD Monitor,16:10,14,61,1
62,3,Philips_Electronics,600,Brilliance LCD Monitor With Clinical D-image,16:10,14,61,1
62,4,Philips_Electronics,764,LCD Monitor,16:10,14,61,1
88,4,iiyama_North_America,93,LCD Monitor,16:09,2,61,1
88,1,iiyama_North_America,296,TN+Film,16:09,2,60.96,1
88,2,iiyama_North_America,328,TFT LCD 16.7 million Colour,16:09,2,61,1
88,5,iiyama_North_America,872,LCD Monitor,16:09,2,61,1
88,3,iiyama_North_America,1710,ProLite E2483HS - A Full HD LED Monitor with 2 ms Response Time,16:09,2,61,1
103,5,Hannspree,169,LCD Monitor,16:09,5,49.5,1
103,2,Hannspree,402,LED Backlight 16.7 Million Colour,16:09,5,49.5,1
103,1,Hannspree,459,LED,16:09,5,49.53,1
103,4,Hannspree,739,LCD Monitor,16:09,5,49.5,1
103,3,Hannspree,1801,HL205DPB Widescreen LCD Monitor,16:09,5,49.5,1
128,2,Asus,193,IPS,16:10,6,24,1
128,4,Asus,268,LCD Monitor,16:10,6,61,1
128,5,Asus,682,LCD Monitor,16:10,6,61,1
128,3,Asus,927,PA249Q Widescreen LCD Monitor,16:10,6,61,1
132,4,Asus,67,LCD Monitor,21:09,5,73.7,1
132,1,Asus,143,IPS,16:09,5,73.025,1
132,5,Asus,471,LCD Monitor,21:09,5,73.7,1
132,2,Asus,533,AH-IPS 16.7 Million Colour,21:09,5,73.7,1
132,3,Asus,829,PB298Q Widescreen LCD Monitor,21:09,5,73.7,1
133,4,Asus,40,LCD Monitor,16:09,8,80,1
133,1,Asus,48,IGZO,16:09,8,80.1,1
133,2,Asus,452,Widescreen 1.07 Billion Colour,16:09,8,80,1
133,5,Asus,638,LCD Monitor,16:09,8,80,1
133,3,Asus,1059,PQ321QE Widescreen LCD Monitor,16:09,8,80,1
168,5,Asus,213,LCD Monitor,16:09,2,68.6,1
168,1,Asus,220,LCD,16:09,2,68.58,1
168,4,Asus,297,LCD Monitor,16:09,2,68.6,1
168,2,Asus,379,Widescreen 16.7 Million Colour,16:09,2,68.6,1
168,3,Asus,646,VG278HE Widescreen LCD Monitor,16:09,2,68.6,1
171,4,Asus,86,LCD Monitor,16:09,2,68.6,1
171,2,Asus,345,16.7 million Colours,16:09,2,68.6,1
171,5,Asus,863,LCD Monitor,16:09,2,68.6,1
171,3,Asus,891,VK278Q Widescreen LCD Monitor,16:09,2,68.6,1
186,5,Asus,182,LCD Monitor,16:10,5,55.9,1
186,2,Asus,290,LED 16.7 million Colour,16:10,5,55.9,1
186,4,Asus,387,LCD Monitor,16:10,5,55.9,1
186,1,Asus,467,TN+Film,16:10,5,55.9,1
186,3,Asus,905,VW22ATL Widescreen LCD Monitor,16:10,5,55.9,1
190,4,Asus,337,LCD Monitor,16:09,5,68.6,1
190,2,Asus,398,Widescreen IPS 16.7 Million Colour,16:09,5,68.6,1
190,5,Asus,408,LCD Monitor,16:09,5,68.6,1
190,1,Asus,680,IPS,16:09,5,68.6,1
190,3,Asus,870,VX279Q Widescreen LCD Monitor,16:09,5,68.6,1
193,2,iiyama_North_America,213,LED Backlight LCD IPS Panel 16.7 million Colour,16:09,5,58.4,1
193,5,iiyama_North_America,336,LCD Monitor,16:09,5,58.4,1
193,1,iiyama_North_America,362,IPS,16:09,5,58.42,1
193,4,iiyama_North_America,815,LCD Monitor,16:09,5,58.4,1
