entity_id,website,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
103,2,Hannspree,402,LED Backlight 16.7 Million Colour,16:09,4.709833331,53.4889547,1
103,1,Hannspree,459,LED,16:10,5.441076343,53.17478626,1
103,4,Hannspree,739,LCD,16:09,4.642050635,52.860863,1
103,3,Hannspree,1801,HL205DPB Widescreen LCD,16:09,4.808079486,48.46050914,1
128,2,Asus,193,IPS,16:11,5.560469812,26.02481999,1
128,4,Asus,268,LCD Monitor,16:11,6.075317464,60.43602424,1
128,5,Asus,682,LCD Monitor,16:10,6.362962085,60.7452146,1
128,3,Asus,927,PA249Q Widescreen LCD Monitor,16:10,6.508493947,65.9059877,1
132,4,Asus,67,LCD Monitor,21:09,4.739240001,67.24904697,1
132,1,Asus,143,IPS,16:09,5.165395001,76.08221133,1
132,5,Asus,471,LCD Monitor,21:09,4.547954954,67.75257838,1
132,2,Asus,533,AH-IPS 16.7 Million Colour,21:09,5.452523055,81.05588904,1
132,3,Asus,829,PB298Q Widescreen Brilliance LCD Monitor,21:09,5.173041311,71.4102863,1
133,4,Asus,40,LCD Monitor,16:09,8.044867768,72.74631545,1
133,1,Asus,48,IGZO,16:09,8.006460399,87.97896668,1
133,2,Asus,452,Widescreen 1.07 Colour,16:09,7.481648931,81.26593594,1
133,5,Asus,638,Brilliance LCD Monitor,16:09,8.35757197,80.25082757,1
133,3,Asus,1059,PQ321QE Widescreen LCD Monitor,16:09,7.796809735,87.08919434,1
168,5,Asus,213,LCD Monitor,16:08,1.985093414,72.30286535,1
168,1,Asus,220,LCD,16:09,2.071719452,70.8135437,1
168,4,Asus,297,Monitor,16:10,2.063362287,62.70473492,1
168,2,Asus,379,Widescreen 16.7 Million Colour,16:09,1.914709505,69.82179407,1
168,3,Asus,646,VG278HE Widescreen LCD Monitor,16:10,1.928628055,72.21348452,1
171,4,Asus,86,LCD Monitor,16:09,2.035098753,66.98184245,1
171,2,Asus,345,16.7 million Colours,16:10,1.882792081,66.21457049,1
171,5,Asus,863,LCD Monitor,16:08,2.053502855,63.67587246,1
171,3,Asus,891,VK278Q Widescreen Monitor,16:09,2.019846024,62.00247127,1
186,5,Asus,182,Monitor,16:09,4.760497895,53.76070673,1
186,2,Asus,290,LED 16.7 million Colour,16:09,4.975943294,61.23157721,1
186,4,Asus,387,LCD Monitor,16:09,4.653314653,55.07602491,1
186,1,Asus,467,TN+Film,16:10,4.681169719,54.39630621,1
186,3,Asus,905,VW22ATL Widescreen LCD Monitor,16:10,4.688201757,51.42207553,1
190,4,Asus,337,Monitor,16:08,5.321621336,72.40973798,1
190,2,Asus,398,Widescreen IPS 16.7 Million Colour,16:09,4.96169952,71.37463699,1
190,5,Asus,408,Brilliance LCD Monitor,16:09,4.633855149,75.45218046,1
190,1,Asus,680,IPS,16:09,4.874532936,64.41553641,1
190,3,Asus,870,VX279Q Widescreen LCD Monitor,16:09,5.464426261,75.29406814,1
193,2,iiyama_North_America,213,LED Backlight LCD IPS Panel 16.7 million Colour,16:10,5.44966093,60.24475778,1
193,5,iiyama_North_America,336,Brilliance LCD Monitor,16:09,5.210600295,58.48059683,1
193,1,iiyama_North_America,362,IPS,16:10,4.805533954,61.80027728,1
193,4,iiyama_North_America,815,Monitor,16:08,5.459439278,61.09235491,1
