0,entity,Domain,Conditions,Wet,day,,,,,,,,,,
8,8,Austin,Showers,96,1,,,,,,,,,,
9,8,Austin,Flood AdvisoryRain,93,1,,,,,,,,,,
10,8,Austin,scattered Tstorm,93,1,,,,,,,,,,
11,8,Austin,Thundershower,93,1,,,,,,,,,,
12,8,Austin,Rain,93,1,,,,,,,,,,
13,8,Austin,Light Rain,93,1,,,,,,,,,,
1,9,Austin,Light Rain,,1,,,,,,,,,,
2,9,Austin,Light Rain,93,1,,,,,,,,,,
3,9,Austin,Light Rain,93,1,,,,,,,,,,
4,9,Austin,Light Rain,79,1,,,,,,,,,,
5,9,Austin,T-Storms,91,1,,,,,,,,,,
6,9,Austin,Light Rain,97,1,,,,,,,,,,
7,9,Austin,Showers,93,1,,,,,,,,,,
14,9,Austin,Rain,97,1,,,,,,,,,,
8,9,Austin,Thunderstorms,91,1,,,,,,,,,,
9,9,Austin,Flood AdvisoryRain,93,1,,,,,,,,,,
10,9,Austin,light rain,100,1,,,,,,,,,,
11,9,Austin,Thundershower,91,1,,,,,,,,,,
12,9,Austin,Rain,100,1,,,,,,,,,,
13,9,Austin,Rain Fog/Mist,93,1,,,,,,,,,,
1,10,Austin,Rain,,1,,,,,,,,,,
2,10,Austin,Rain,93,1,,,,,,,,,,
3,10,Austin,Rain,93,1,,,,,,,,,,
4,10,Austin,Rain Mist,80,1,,,,,,,,,,
5,10,Austin,Rain,95,1,,,,,,,,,,
6,10,Austin,Light Rain,97,1,,,,,,,,,,
7,10,Austin,Rain,93,1,,,,,,,,,,
14,10,Austin,Thunderstorm,92,1,,,,,,,,,,
8,10,Austin,Rain,95,1,,,,,,,,,,
9,10,Austin,Weather WarningsCloudy,93,1,,,,,,,,,,
10,10,Austin,moderate rain,93,1,,,,,,,,,,
11,10,Austin,Light Rain,93,1,,,,,,,,,,
12,10,Austin,Rain,93,1,,,,,,,,,,
13,10,Austin,Rain Fog/Mist,93,1,,,,,,,,,,
1,11,Austin,Cloudy,,1,,,,,,,,,,
2,11,Austin,Overcast,93,1,,,,,,,,,,
3,11,Austin,Overcast,89,1,,,,,,,,,,
4,11,Austin,Overcast,75,1,,,,,,,,,,
5,11,Austin,Cloudy,88,1,,,,,,,,,,
6,11,Austin,Light Rain,93,1,,,,,,,,,,
7,11,Austin,Cloudy,89,1,,,,,,,,,,
14,11,Austin,Rain,96,1,,,,,,,,,,
8,11,Austin,Rain,95,1,,,,,,,,,,
9,11,Austin,Weather WarningsCloudy,93,1,,,,,,,,,,
10,11,Austin,light rain,93,1,,,,,,,,,,
11,11,Austin,Cloudy,88,1,,,,,,,,,,
12,11,Austin,Light Rain,93,1,,,,,,,,,,
13,11,Austin,Overcast,89,1,,,,,,,,,,
1,12,Austin,Light Rain,,1,,,,,,,,,,
2,12,Austin,Light Rain,87,1,,,,,,,,,,
3,12,Austin,Mostly Cloudy,82,1,,,,,,,,,,
4,12,Austin,Mostly Cloudy,72,1,,,,,,,,,,
5,12,Austin,Cloudy,88,1,,,,,,,,,,
6,12,Austin,Light Rain,86,1,,,,,,,,,,
7,12,Austin,Showers,87,1,,,,,,,,,,
14,12,Austin,Rain,96,1,,,,,,,,,,
8,12,Austin,Cloudy,88,1,,,,,,,,,,
9,12,Austin,Short term forecastRain,87,1,,,,,,,,,,
10,12,Austin,mostly cloudy,87,1,,,,,,,,,,
11,12,Austin,Cloudy,82,1,,,,,,,,,,
12,12,Austin,Light Rain,86,1,,,,,,,,,,
13,12,Austin,Mostly Cloudy,82,1,,,,,,,,,,
1,13,Austin,Cloudy,,1,,,,,,,,,,
2,13,Austin,Mostly Cloudy,81,1,,,,,,,,,,
3,13,Austin,Overcast,76,1,,,,,,,,,,
4,13,Austin,Overcast,62,1,,,,,,,,,,
5,13,Austin,Cloudy,82,1,,,,,,,,,,
6,13,Austin,Overcast,66,1,,,,,,,,,,
7,13,Austin,Cloudy,76,1,,,,,,,,,,
14,13,Austin,Rain,96,1,,,,,,,,,,
8,13,Austin,Cloudy,82,1,,,,,,,,,,
9,13,Austin,Short term forecastMostly Cloudy,81,1,,,,,,,,,,
10,13,Austin,mostly cloudy,81,1,,,,,,,,,,
11,13,Austin,Cloudy,82,1,,,,,,,,,,
12,13,Austin,Cloudy,86,1,,,,,,,,,,
13,13,Austin,Mostly Cloudy,74,1,,,,,,,,,,
1,14,Austin,Mostly Cloudy,,1,,,,,,,,,,
2,14,Austin,Mostly Cloudy,76,1,,,,,,,,,,
3,14,Austin,Mostly Cloudy,74,1,,,,,,,,,,
4,14,Austin,Mostly Cloudy,54,1,,,,,,,,,,
5,14,Austin,Mostly Cloudy,76,1,,,,,,,,,,
6,14,Austin,Mostly Cloudy,63,1,,,,,,,,,,
7,14,Austin,Mostly Cloudy,71,1,,,,,,,,,,
14,14,Austin,Cloudy,82,1,,,,,,,,,,
8,14,Austin,Mostly Cloudy,76,1,,,,,,,,,,
9,14,Austin,Short term forecastMostly Cloudy,75,1,,,,,,,,,,
10,14,Austin,mostly cloudy,75,1,,,,,,,,,,
11,14,Austin,Cloudy,70,1,,,,,,,,,,
12,14,Austin,Cloudy,80,1,,,,,,,,,,
13,14,Austin,Overcast,76,1,,,,,,,,,,
1,15,Austin,Cloudy,,1,,,,,,,,,,
2,15,Austin,Overcast,76,1,,,,,,,,,,
3,15,Austin,Overcast,76,1,,,,,,,,,,
4,15,Austin,Overcast,53,1,,,,,,,,,,
5,15,Austin,Cloudy,73,1,,,,,,,,,,
6,15,Austin,Overcast,60,1,,,,,,,,,,
7,15,Austin,Cloudy,74,1,,,,,,,,,,
14,15,Austin,Mostly Cloudy,76,1,,,,,,,,,,
8,15,Austin,Cloudy,73,1,,,,,,,,,,
9,15,Austin,Cloudy,75,1,,,,,,,,,,
10,15,Austin,mostly cloudy,75,1,,,,,,,,,,
11,15,Austin,Cloudy,73,1,,,,,,,,,,
12,15,Austin,Cloudy,80,1,,,,,,,,,,
13,15,Austin,Overcast,76,1,,,,,,,,,,
1,16,Austin,Cloudy,,1,,,,,,,,,,
2,16,Austin,Overcast,70,1,,,,,,,,,,
3,16,Austin,Overcast,73,1,,,,,,,,,,
4,16,Austin,Overcast,51,1,,,,,,,,,,
5,16,Austin,Cloudy,70,1,,,,,,,,,,
6,16,Austin,Overcast,55,1,,,,,,,,,,
7,16,Austin,Cloudy,73,1,,,,,,,,,,
14,16,Austin,Mostly Cloudy,74,1,,,,,,,,,,
8,16,Austin,Cloudy,73,1,,,,,,,,,,
9,16,Austin,Cloudy,70,1,,,,,,,,,,
10,16,Austin,mostly cloudy,75,1,,,,,,,,,,
11,16,Austin,Cloudy,70,1,,,,,,,,,,
12,16,Austin,Cloudy,75,1,,,,,,,,,,
13,16,Austin,Overcast,73,1,,,,,,,,,,
1,17,Austin,Cloudy,,1,,,,,,,,,,
2,17,Austin,Overcast,70,1,,,,,,,,,,
3,17,Austin,Overcast,70,1,,,,,,,,,,
4,17,Austin,Overcast,51,1,,,,,,,,,,
5,17,Austin,Cloudy,73,1,,,,,,,,,,
6,17,Austin,Overcast,55,1,,,,,,,,,,
7,17,Austin,Cloudy,70,1,,,,,,,,,,
14,17,Austin,Mostly Cloudy,70,1,,,,,,,,,,
8,17,Austin,Cloudy,70,1,,,,,,,,,,
9,17,Austin,Cloudy,70,1,,,,,,,,,,
10,17,Austin,mostly cloudy,70,1,,,,,,,,,,
11,17,Austin,Cloudy,73,1,,,,,,,,,,
12,17,Austin,Cloudy,75,1,,,,,,,,,,
13,17,Austin,Overcast,70,1,,,,,,,,,,
1,18,Austin,Cloudy,,1,,,,,,,,,,
2,18,Austin,Overcast,70,1,,,,,,,,,,
3,18,Austin,Overcast,67,1,,,,,,,,,,
4,18,Austin,Overcast,50,1,,,,,,,,,,
5,18,Austin,Cloudy,73,1,,,,,,,,,,
6,18,Austin,Overcast,53,1,,,,,,,,,,
7,18,Austin,Cloudy,69,1,,,,,,,,,,
14,18,Austin,Cloudy,73,1,,,,,,,,,,
8,18,Austin,Cloudy,73,1,,,,,,,,,,
9,18,Austin,Cloudy,65,1,,,,,,,,,,
10,18,Austin,mostly cloudy,75,1,,,,,,,,,,
11,18,Austin,Cloudy,73,1,,,,,,,,,,
12,18,Austin,Cloudy,75,1,,,,,,,,,,
13,18,Austin,Overcast,67,1,,,,,,,,,,
1,19,Austin,Cloudy,,1,,,,,,,,,,
2,19,Austin,Overcast,65,1,,,,,,,,,,
3,19,Austin,Overcast,67,1,,,,,,,,,,
4,19,Austin,Overcast,49,1,,,,,,,,,,
5,19,Austin,Cloudy,64,1,,,,,,,,,,
6,19,Austin,Overcast,50,1,,,,,,,,,,
7,19,Austin,Cloudy,67,1,,,,,,,,,,
14,19,Austin,Cloudy,73,1,,,,,,,,,,
8,19,Austin,Cloudy,64,1,,,,,,,,,,
9,19,Austin,Cloudy,65,1,,,,,,,,,,
10,19,Austin,mostly cloudy,61,1,,,,,,,,,,
11,19,Austin,Cloudy,64,1,,,,,,,,,,
12,19,Austin,Mostly Cloudy,69,1,,,,,,,,,,
13,19,Austin,Overcast,67,1,,,,,,,,,,
1,20,Austin,Cloudy,,1,,,,,,,,,,
2,20,Austin,Hazy,81,1,,,,,,,,,,
3,20,Austin,Haze,82,1,,,,,,,,,,
4,20,Austin,Haze,70,1,,,,,,,,,,
5,20,Austin,Cloudy,81,1,,,,,,,,,,
6,20,Austin,Hazy,73,1,,,,,,,,,,
7,20,Austin,Cloudy,82,1,,,,,,,,,,
14,20,Austin,Cloudy,82,1,,,,,,,,,,
8,20,Austin,Cloudy,81,1,,,,,,,,,,
9,20,Austin,Haze,80,1,,,,,,,,,,
10,20,Austin,mostly cloudy,80,1,,,,,,,,,,
11,20,Austin,Cloudy,81,1,,,,,,,,,,
12,20,Austin,Cloudy,86,1,,,,,,,,,,
1,21,Austin,Cloudy,,1,,,,,,,,,,
2,21,Austin,Hazy,81,1,,,,,,,,,,
3,21,Austin,Haze,82,1,,,,,,,,,,
4,21,Austin,Haze,72,1,,,,,,,,,,
5,21,Austin,Cloudy,81,1,,,,,,,,,,
6,21,Austin,Hazy,74,1,,,,,,,,,,
7,21,Austin,Cloudy,82,1,,,,,,,,,,
14,21,Austin,Cloudy,82,1,,,,,,,,,,
8,21,Austin,Cloudy,81,1,,,,,,,,,,
9,21,Austin,Haze,80,1,,,,,,,,,,
10,21,Austin,mostly cloudy,80,1,,,,,,,,,,
11,21,Austin,Cloudy,81,1,,,,,,,,,,
12,21,Austin,Light Fog,93,1,,,,,,,,,,
1,22,Austin,Cloudy,,1,,,,,,,,,,
2,22,Austin,Overcast,81,1,,,,,,,,,,
3,22,Austin,Haze,82,1,,,,,,,,,,
4,22,Austin,Haze,75,1,,,,,,,,,,
5,22,Austin,Cloudy,81,1,,,,,,,,,,
7,22,Austin,Cloudy,82,1,,,,,,,,,,
14,22,Austin,Cloudy,82,1,,,,,,,,,,
8,22,Austin,Cloudy,81,1,,,,,,,,,,
9,22,Austin,Haze,80,1,,,,,,,,,,
10,22,Austin,mostly cloudy,80,1,,,,,,,,,,
11,22,Austin,Cloudy,81,1,,,,,,,,,,
12,22,Austin,Light Fog,93,1,,,,,,,,,,
1,23,Austin,Cloudy,,1,,,,,,,,,,
2,23,Austin,Overcast,87,1,,,,,,,,,,
3,23,Austin,Overcast,87,1,,,,,,,,,,
4,23,Austin,Overcast,76,1,,,,,,,,,,
5,23,Austin,Cloudy,81,1,,,,,,,,,,
6,23,Austin,Mist,80,1,,,,,,,,,,
7,23,Austin,Cloudy,85,1,,,,,,,,,,
14,23,Austin,Cloudy,82,1,,,,,,,,,,
8,23,Austin,Cloudy,81,1,,,,,,,,,,
9,23,Austin,Cloudy,86,1,,,,,,,,,,
10,23,Austin,mostly cloudy,80,1,,,,,,,,,,
11,23,Austin,Cloudy,81,1,,,,,,,,,,
12,23,Austin,Cloudy,93,1,,,,,,,,,,
1,24,Austin,Cloudy,,1,,,,,,,,,,
2,24,Austin,Fog And Mist,87,1,,,,,,,,,,
3,24,Austin,Overcast,85,1,,,,,,,,,,
4,24,Austin,Overcast,76,1,,,,,,,,,,
5,24,Austin,Cloudy,81,1,,,,,,,,,,
6,24,Austin,Mist,81,1,,,,,,,,,,
7,24,Austin,Cloudy,87,1,,,,,,,,,,
14,24,Austin,Cloudy,82,1,,,,,,,,,,
8,24,Austin,Cloudy,81,1,,,,,,,,,,
9,24,Austin,Fog,86,1,,,,,,,,,,
10,24,Austin,mostly cloudy,80,1,,,,,,,,,,
11,24,Austin,Cloudy,81,1,,,,,,,,,,
12,24,Austin,Cloudy,93,1,,,,,,,,,,
1,25,Austin,Cloudy,,1,,,,,,,,,,
2,25,Austin,Fog And Mist,87,1,,,,,,,,,,
3,25,Austin,Overcast,85,1,,,,,,,,,,
4,25,Austin,Overcast,75,1,,,,,,,,,,
5,25,Austin,Cloudy,81,1,,,,,,,,,,
6,25,Austin,Mist,80,1,,,,,,,,,,
7,25,Austin,Cloudy,86,1,,,,,,,,,,
14,25,Austin,Cloudy,82,1,,,,,,,,,,
8,25,Austin,Cloudy,81,1,,,,,,,,,,
9,25,Austin,Fog,86,1,,,,,,,,,,
10,25,Austin,mostly cloudy,80,1,,,,,,,,,,
11,25,Austin,Cloudy,81,1,,,,,,,,,,
12,25,Austin,Cloudy,93,1,,,,,,,,,,
1,26,Austin,Cloudy,,1,,,,,,,,,,
2,26,Austin,Fog And Mist,87,1,,,,,,,,,,
3,26,Austin,Overcast,85,1,,,,,,,,,,
4,26,Austin,Overcast,74,1,,,,,,,,,,
5,26,Austin,Cloudy,81,1,,,,,,,,,,
6,26,Austin,Mist,79,1,,,,,,,,,,
7,26,Austin,Cloudy,87,1,,,,,,,,,,
14,26,Austin,Cloudy,82,1,,,,,,,,,,
8,26,Austin,Cloudy,81,1,,,,,,,,,,
9,26,Austin,Fog,86,1,,,,,,,,,,
10,26,Austin,mostly cloudy,80,1,,,,,,,,,,
11,26,Austin,Cloudy,81,1,,,,,,,,,,
12,26,Austin,Cloudy,93,1,,,,,,,,,,
1,27,Austin,Cloudy,,1,,,,,,,,,,
2,27,Austin,Overcast,87,1,,,,,,,,,,
3,27,Austin,Overcast,85,1,,,,,,,,,,
4,27,Austin,Overcast,74,1,,,,,,,,,,
5,27,Austin,Cloudy,81,1,,,,,,,,,,
6,27,Austin,Overcast,82,1,,,,,,,,,,
7,27,Austin,Cloudy,85,1,,,,,,,,,,
14,27,Austin,Cloudy,82,1,,,,,,,,,,
8,27,Austin,Cloudy,81,1,,,,,,,,,,
9,27,Austin,Cloudy,86,1,,,,,,,,,,
10,27,Austin,mostly cloudy,80,1,,,,,,,,,,
11,27,Austin,Cloudy,81,1,,,,,,,,,,
12,27,Austin,Cloudy,93,1,,,,,,,,,,
1,28,Austin,Cloudy,,1,,,,,,,,,,
2,28,Austin,Overcast,87,1,,,,,,,,,,
3,28,Austin,Overcast,85,1,,,,,,,,,,
4,28,Austin,Overcast,75,1,,,,,,,,,,
5,28,Austin,Cloudy,81,1,,,,,,,,,,
6,28,Austin,Overcast,82,1,,,,,,,,,,
7,28,Austin,Cloudy,86,1,,,,,,,,,,
14,28,Austin,Cloudy,82,1,,,,,,,,,,
8,28,Austin,Cloudy,81,1,,,,,,,,,,
9,28,Austin,Cloudy,86,1,,,,,,,,,,
10,28,Austin,mostly cloudy,80,1,,,,,,,,,,
11,28,Austin,Cloudy,81,1,,,,,,,,,,
12,28,Austin,Cloudy,93,1,,,,,,,,,,
1,29,Austin,Cloudy,,1,,,,,,,,,,
2,29,Austin,Overcast,87,1,,,,,,,,,,
3,29,Austin,Overcast,85,1,,,,,,,,,,
4,29,Austin,Overcast,75,1,,,,,,,,,,
5,29,Austin,Cloudy,81,1,,,,,,,,,,
6,29,Austin,Overcast,81,1,,,,,,,,,,
7,29,Austin,Cloudy,86,1,,,,,,,,,,
14,29,Austin,Cloudy,82,1,,,,,,,,,,
8,29,Austin,Cloudy,81,1,,,,,,,,,,
9,29,Austin,Cloudy,86,1,,,,,,,,,,
10,29,Austin,mostly cloudy,80,1,,,,,,,,,,
11,29,Austin,Cloudy,81,1,,,,,,,,,,
12,29,Austin,Cloudy,100,1,,,,,,,,,,
1,30,Austin,Cloudy,,1,,,,,,,,,,
2,30,Austin,Overcast,87,1,,,,,,,,,,
3,30,Austin,Overcast,87,1,,,,,,,,,,
4,30,Austin,Overcast,75,1,,,,,,,,,,
5,30,Austin,Cloudy,84,1,,,,,,,,,,
6,30,Austin,Overcast,82,1,,,,,,,,,,
7,30,Austin,Cloudy,87,1,,,,,,,,,,
14,30,Austin,Cloudy,82,1,,,,,,,,,,
8,30,Austin,Cloudy,84,1,,,,,,,,,,
9,30,Austin,Cloudy,86,1,,,,,,,,,,
10,30,Austin,mostly cloudy,80,1,,,,,,,,,,
11,30,Austin,Cloudy,84,1,,,,,,,,,,
12,30,Austin,Cloudy,93,1,,,,,,,,,,
1,31,Austin,Cloudy,,1,,,,,,,,,,
2,31,Austin,Overcast,87,1,,,,,,,,,,
3,31,Austin,Overcast,85,1,,,,,,,,,,
4,31,Austin,Overcast,77,1,,,,,,,,,,
5,31,Austin,Cloudy,84,1,,,,,,,,,,
6,31,Austin,Overcast,86,1,,,,,,,,,,
7,31,Austin,Cloudy,89,1,,,,,,,,,,
14,31,Austin,Cloudy,85,1,,,,,,,,,,
8,31,Austin,Cloudy,84,1,,,,,,,,,,
9,31,Austin,Cloudy,86,1,,,,,,,,,,
10,31,Austin,mostly cloudy,80,1,,,,,,,,,,
11,31,Austin,Cloudy,84,1,,,,,,,,,,
12,31,Austin,Cloudy,93,1,,,,,,,,,,
1,32,Austin,Cloudy,,1,,,,,,,,,,
2,32,Austin,Overcast,87,1,,,,,,,,,,
3,32,Austin,Overcast,89,1,,,,,,,,,,
4,32,Austin,Overcast,77,1,,,,,,,,,,
5,32,Austin,Cloudy,84,1,,,,,,,,,,
6,32,Austin,Overcast,86,1,,,,,,,,,,
7,32,Austin,Cloudy,86,1,,,,,,,,,,
14,32,Austin,Cloudy,85,1,,,,,,,,,,
8,32,Austin,Cloudy,84,1,,,,,,,,,,
9,32,Austin,Cloudy,86,1,,,,,,,,,,
10,32,Austin,mostly cloudy,80,1,,,,,,,,,,
11,32,Austin,Cloudy,84,1,,,,,,,,,,
12,32,Austin,Cloudy,93,1,,,,,,,,,,
1,33,Austin,Cloudy,,1,,,,,,,,,,
2,33,Austin,Overcast,87,1,,,,,,,,,,
3,33,Austin,Overcast,89,1,,,,,,,,,,
4,33,Austin,Overcast,77,1,,,,,,,,,,
5,33,Austin,Cloudy,88,1,,,,,,,,,,
6,33,Austin,Overcast,88,1,,,,,,,,,,
7,33,Austin,Cloudy,89,1,,,,,,,,,,
14,33,Austin,Cloudy,85,1,,,,,,,,,,
8,33,Austin,Cloudy,88,1,,,,,,,,,,
9,33,Austin,Cloudy,86,1,,,,,,,,,,
10,33,Austin,mostly cloudy,87,1,,,,,,,,,,
11,33,Austin,Cloudy,88,1,,,,,,,,,,
12,33,Austin,Cloudy,93,1,,,,,,,,,,
1,34,Austin,Cloudy,,1,,,,,,,,,,
2,34,Austin,Overcast,81,1,,,,,,,,,,
3,34,Austin,Overcast,81,1,,,,,,,,,,
4,34,Austin,Overcast,76,1,,,,,,,,,,
5,34,Austin,Mostly Cloudy,88,1,,,,,,,,,,
6,34,Austin,Overcast,89,1,,,,,,,,,,
7,34,Austin,Cloudy,81,1,,,,,,,,,,
14,34,Austin,Cloudy,89,1,,,,,,,,,,
8,34,Austin,Cloudy,88,1,,,,,,,,,,
9,34,Austin,Cloudy,80,1,,,,,,,,,,
10,34,Austin,mostly cloudy,87,1,,,,,,,,,,
11,34,Austin,Mostly Cloudy,88,1,,,,,,,,,,
12,34,Austin,Cloudy,93,1,,,,,,,,,,
1,35,Austin,Cloudy,,1,,,,,,,,,,
2,35,Austin,Overcast,81,1,,,,,,,,,,
3,35,Austin,Overcast,85,1,,,,,,,,,,
4,35,Austin,Overcast,75,1,,,,,,,,,,
5,35,Austin,Cloudy,86,1,,,,,,,,,,
6,35,Austin,Overcast,88,1,,,,,,,,,,
7,35,Austin,Cloudy,81,1,,,,,,,,,,
14,35,Austin,Mostly Cloudy,89,1,,,,,,,,,,
8,35,Austin,Mostly Cloudy,88,1,,,,,,,,,,
9,35,Austin,Cloudy,80,1,,,,,,,,,,
10,35,Austin,mostly cloudy,87,1,,,,,,,,,,
11,35,Austin,Cloudy,85,1,,,,,,,,,,
12,35,Austin,Cloudy,93,1,,,,,,,,,,
1,36,Austin,Cloudy,,1,,,,,,,,,,
2,36,Austin,Overcast,81,1,,,,,,,,,,
3,36,Austin,Overcast,81,1,,,,,,,,,,
4,36,Austin,Overcast,75,1,,,,,,,,,,
5,36,Austin,Cloudy,85,1,,,,,,,,,,
6,36,Austin,Overcast,87,1,,,,,,,,,,
7,36,Austin,Cloudy,81,1,,,,,,,,,,
14,36,Austin,Mostly Cloudy,89,1,,,,,,,,,,
8,36,Austin,Cloudy,85,1,,,,,,,,,,
9,36,Austin,Cloudy,80,1,,,,,,,,,,
10,36,Austin,mostly cloudy,87,1,,,,,,,,,,
11,36,Austin,Cloudy,85,1,,,,,,,,,,
12,36,Austin,Cloudy,93,1,,,,,,,,,,
1,37,Austin,Cloudy,,1,,,,,,,,,,
2,37,Austin,Overcast,81,1,,,,,,,,,,
3,37,Austin,Overcast,82,1,,,,,,,,,,
4,37,Austin,Overcast,75,1,,,,,,,,,,
5,37,Austin,Cloudy,85,1,,,,,,,,,,
6,37,Austin,Overcast,87,1,,,,,,,,,,
7,37,Austin,Cloudy,82,1,,,,,,,,,,
14,37,Austin,Cloudy,86,1,,,,,,,,,,
8,37,Austin,Cloudy,85,1,,,,,,,,,,
9,37,Austin,Cloudy,80,1,,,,,,,,,,
10,37,Austin,mostly cloudy,87,1,,,,,,,,,,
11,37,Austin,Cloudy,85,1,,,,,,,,,,
12,37,Austin,Cloudy,86,1,,,,,,,,,,
1,38,Austin,Cloudy,,1,,,,,,,,,,
2,38,Austin,Overcast,81,1,,,,,,,,,,
3,38,Austin,Overcast,82,1,,,,,,,,,,
4,38,Austin,Overcast,75,1,,,,,,,,,,
5,38,Austin,Cloudy,85,1,,,,,,,,,,
6,38,Austin,Overcast,85,1,,,,,,,,,,
7,38,Austin,Cloudy,82,1,,,,,,,,,,
14,38,Austin,Cloudy,86,1,,,,,,,,,,
8,38,Austin,Cloudy,85,1,,,,,,,,,,
9,38,Austin,Short term forecastCloudy,80,1,,,,,,,,,,
10,38,Austin,mostly cloudy,87,1,,,,,,,,,,
