entity_id,website,brand,number,image_resolution,white_balance,day
44,4,Nikon,714,24.53992339,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance;Auto,1
44,1,Nikon,5857,26.97124798,Preset;Auto,1
44,6,Nikon,9649,,Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight;Incandescent,1
48,4,Canon,172,12.79755124,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
48,6,Canon,929,,White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash;Daylight,1
48,2,Canon,665,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
58,4,Nikon,696,9.197391018,Custom White Balance;White Balance Presets,1
58,2,Nikon,1450,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
58,6,Nikon,871,,Fluorescent;Incandescent;Cloudy;Flash;Auto;Shade;Direct Sunlight;Preset Manual,1
65,4,Fujifilm,46,15.92489001,Preset;Automatic,1
65,6,Fujifilm,9757,,Preset;Fluorescent Light;Automatic,1
65,2,Fujifilm,1107,14.77601053,Sunny;Shade;Daylight,1
67,6,Canon,9842,16.15411089,Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent;Cloudy,1
67,4,Canon,687,16.71349035,Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom;Auto,1
67,2,Canon,1352,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
69,6,Sony,737,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater;Auto,1
69,4,Sony,52,38.30139049,Custom White Balance;White Balance Presets,1
69,2,Sony,1458,32.97253955,Daylight;Sunny;Shade;Underwater;Cloudy,1
70,4,Panasonic,79,15.09644714,Daylight;Cloudy;Shade;Incandescent;White Set;Auto,1
70,6,Panasonic,9918,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
70,2,Panasonic,916,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
75,4,Nikon,35,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature;Custom White Balance,1
75,5,Nikon,335,16.8165155,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
75,3,Nikon,29,,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
75,1,Nikon,5791,16.43193967,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
75,2,Nikon,1284,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
76,4,Nikon,750,24.82511135,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning;Custom White Balance,1
76,6,Nikon,732,,Choose Color Temperature;all with Fine-Tuning;Auto,1
76,2,Nikon,1138,24.42504462,Sunlight,1
83,4,Nikon,187,10.21490255,Auto,1
83,6,Nikon,9791,,Auto,1
83,1,Nikon,5946,10.48332467,Auto,1
88,6,Sony,743,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
88,2,Sony,1569,18.71933265,Daylight;Sunny;Flash;Cloudy,1
88,4,Sony,139,19.51815235,Custom White Balance;White Balance Presets,1
96,5,Canon,549,22.30337037,preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
96,2,Canon,1411,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
96,4,Canon,181,19.178631,Preset;Custom;Color Temperature Setting;Auto,1
96,1,Canon,6338,21.21603705,preset;user-define;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
96,6,Canon,805,,Preset;Custom;Color Temperature Setting;Auto,1
101,1,Canon,5439,23.54608579,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
101,2,Canon,1662,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1
101,3,Canon,83,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
101,4,Canon,724,20.43863873,Preset;Auto,1
101,5,Canon,470,25.09430782,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
101,6,Canon,,,Flash Color Temperature Information Transmission Enabled;Color Temperature Setting;Auto;White Balance Correction;Shade;Flash;Cloudy;Tungsten Light;Custom;White Fluorescent LightPreset: Daylight;And White Balance Bracketing,1
570,2,Nikon,929,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1
570,6,Nikon,754,33.24789061,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;all with Fine-Tuning;Auto,1
570,4,Nikon,126,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
