0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
36,1,1,1,1,1,119237,1,1,2,2,1,,,,,,1,1,1
37,1,2,1,1,1,119237,1,1,1,2,1,19994581,,,,,,1,1
38,1,1,,1,1,5552,1,1,1,1,1,,,594960000,,,,1,1
39,1,,,,,0,,,,,,,,,,,,1,1
40,1,1,1,,1,,,,,,,,,,,,,1,1
41,1,1,1,1,1,119929,1,1,1,2,1,,,612000,1,1,,1,1
42,1,2,1,1,1,119929,1,1,1,2,1,19994581,,,,,,1,1
43,1,1,1,1,1,119240,1,1,1,2,1,,,,,,,1,1
44,1,5,2,3,2,39776,2,3,,,,,,,,,,1,1
45,1,2,1,,1,,,,,,,,,,,,,1,1
46,1,1,1,1,1,119237,1,1,1,2,1,,,,,,3,1,1
47,1,,1,2,1,119237,1,1,,,,,,,,,,1,1
48,1,1,1,1,1,119237,1,1,1,4,1,19994581,,605235967,,,,1,1
49,1,1,1,1,1,119237,1,1,1,2,1,,6,560600000,1,1,,1,1
50,1,1,1,1,1,119929,1,1,1,1,1,19994581,,624430765,,,3,1,1
51,1,1,1,1,1,113589,1,1,1,2,1,19990000000,,612000000,,,3,1,1
52,1,1,1,1,1,116677,1,1,,2,1,,,612000000,,,5,1,1
53,1,1,1,2,1,119237,1,1,1,1,1,,,624410000,,,3,1,1
54,1,1,1,,1,,,,,2,1,,,603050000,1,,3,1,1
55,1,1,1,,1,,1,1,,1,1,,7,601640000,1,1,6,1,1
1,2,6,3,4,3,4569009,3,4,,,,,,,,,,1,2
2,2,7,4,4,4,4950199,3,4,3,5,3,,8,4880000000,2,2,7,1,2
3,2,,,,,,,,,,,,,,,,,1,2
4,2,6,3,4,3,4569009,3,4,,6,4,358064000,8,4860716000,3,3,8,1,2
5,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
6,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
7,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
8,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
9,2,6,4,4,3,4551779,3,4,3,6,4,358063820,9,5000000000,4,2,,1,2
10,2,6,3,4,3,4464094,3,4,3,,,,10,4900000000,5,,,1,2
11,2,8,3,4,3,4544879,3,4,3,6,4,,10,,,,7,1,2
12,2,6,3,4,3,4557938,3,4,3,6,4,358064000,11,4810000000,6,3,,1,2
13,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
14,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
15,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
16,2,6,4,4,3,4557938,3,4,3,6,4,358000000,10,5000000000,3,2,7,1,2
17,2,6,4,,,4557938,,,3,7,5,358060000,11,4810000000,,2,7,1,2
18,2,6,4,4,3,4464094,3,4,3,6,4,,12,4860000000,7,2,,1,2
19,2,,3,,3,4569009,,,3,,,,,,,,,1,2
20,2,6,4,4,3,4560000,3,4,,6,4,358060000,13,4860000000,5,3,7,1,2
21,2,6,3,4,3,4551779,3,4,3,,,,,,,,,1,2
22,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
23,2,6,4,4,3,4569009,3,4,,,,,14,,,,,1,2
24,2,6,3,4,3,,,,3,,,,,,,,,1,2
25,2,6,3,5,3,,3,4,,8,4,,15,4697000000,,,7,1,2
26,2,7,4,5,4,4401400,3,4,3,,,358060000,11,4810000000,6,,7,1,2
27,2,,,,,,,,,,,,,,,,,1,2
28,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
29,2,6,3,4,3,4560000,3,4,3,6,4,358060000,9,4810000000,6,2,7,1,2
30,2,6,3,4,3,4557938,3,4,3,6,4,358064000,9,4860718800,6,2,7,1,2
31,2,6,4,4,3,4459943,3,4,3,6,4,358060000,10,4900000000,5,2,7,1,2
32,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
33,2,7,3,4,4,4569009,3,4,3,6,4,354503160,11,4812380000,,3,,1,2
34,2,6,3,5,,4569009,3,4,3,8,4,,15,,5,4,7,1,2
35,2,6,3,,3,4557938,,,,,,,,,,,,1,2
36,2,6,3,4,3,4557938,3,4,4,6,4,,9,,,,7,1,2
37,2,6,4,4,3,4551779,3,4,3,6,4,358063820,,,,,,1,2
38,2,,,,,,,,,,,,,,,,,1,2
39,2,6,5,4,3,3567004,3,4,5,6,4,,13,,,,7,1,2
40,2,6,4,,3,,,,,,,,15,,,,,1,2
41,2,6,3,4,3,4569009,3,4,3,6,4,,,4812400,6,3,,1,2
42,2,6,4,4,3,4562850,3,4,3,6,4,358063820,,,,,,1,2
43,2,6,3,4,3,4560000,3,4,3,6,4,,,,,,,1,2
44,2,5,6,6,2,612371,4,5,,,,,,,,,,1,2
45,2,9,3,,3,,,,,,,,,,,,,1,2
46,2,9,3,4,3,4544879,3,4,3,6,4,,10,,,,7,1,2
47,2,,3,5,3,4557938,3,4,,,,,,,,,,1,2
48,2,6,3,4,3,4557938,3,4,3,9,4,358063820,,4747926253,,,,1,2
49,2,6,4,4,3,4557938,3,4,5,6,4,,11,4700000000,6,3,,1,2
50,2,6,3,4,3,4569009,3,4,3,6,4,358063820,11,4860716357,6,3,7,1,2
51,2,9,3,4,3,4461278,3,4,3,6,4,3.58E+11,16,4810000000,,,7,1,2
52,2,6,3,4,3,4551779,3,4,,6,4,,11,5000000000,8,4,9,1,2
53,2,6,3,5,3,4557938,3,4,3,6,4,,17,4700000000,9,2,7,1,2
54,2,9,3,,3,,,,,6,4,,10,4880000000,10,,7,1,2
55,2,9,3,,3,,3,4,,6,4,,18,4810000000,6,2,10,1,2
1,3,10,7,7,5,70635,5,6,,,,,,,,,,1,3
2,3,10,7,7,5,17.97,5,6,6,10,6,,,,,,,1,3
3,3,11,7,7,5,70635,5,6,,,,19760000,,256320000,11,5,,1,3
4,3,10,7,7,5,70635,5,6,,11,7,20220000,19,262256000,12,5,11,1,3
5,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
6,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
7,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
8,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
9,3,10,7,7,5,70635,5,6,6,11,7,20220197,20,262000000,13,6,,1,3
10,3,10,7,7,5,70635,5,6,6,,,,21,262300000,11,,,1,3
11,3,10,7,7,5,70635,5,6,6,11,7,,20,,,,12,1,3
12,3,10,7,7,5,70635,5,6,6,11,7,20220000,22,262860000,14,5,,1,3
13,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
14,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
15,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
16,3,12,7,7,5,70635,5,6,6,11,7,20000000,23,262000000,15,6,13,1,3
17,3,10,7,,,70271,,,6,12,8,20220000,24,262250000,,6,14,1,3
18,3,10,7,7,5,70271,5,6,6,11,7,,25,262260000,,6,,1,3
19,3,,7,,5,70635,,,6,,,,,,,,,1,3
20,3,10,7,7,5,70635,5,6,,11,7,20220000,26,262260000,11,5,14,1,3
21,3,10,7,7,5,70635,5,6,6,,,,,,,,,1,3
22,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
23,3,10,7,7,5,70635,5,6,,,,,,,,,,1,3
24,3,10,7,7,5,,,,6,,,,,,,,,1,3
26,3,10,7,7,5,68000,5,6,6,,,20220000,27,260000000,14,,14,1,3
27,3,10,7,7,5,1865,5,6,6,11,7,,28,256320000,11,5,13,1,3
28,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
29,3,10,7,7,5,70635,5,6,6,11,7,20220000,29,262860000,14,6,14,1,3
30,3,11,7,7,6,70635,5,6,6,11,7,20220000,30,262253400,14,6,13,1,3
31,3,10,7,7,5,70635,5,6,6,11,7,20220000,21,262300000,11,6,12,1,3
32,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
33,3,10,7,7,5,70635,5,6,6,11,7,20266769,31,262860000,,5,,1,3
34,3,10,7,7,5,70635,5,6,6,11,7,,32,,16,7,11,1,3
35,3,10,7,,5,70635,,,,,,,,,,,,1,3
36,3,10,7,7,5,70635,5,6,7,11,7,,33,,,,15,1,3
37,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
38,3,10,,7,5,1865,5,6,6,11,7,,28,256320000,11,5,13,1,3
39,3,,,,,0,,,,,,,,,,,,1,3
40,3,10,7,,5,,,,,,,,32,,,,,1,3
41,3,10,7,7,5,70635,5,6,6,11,7,,,262900,14,5,,1,3
42,3,10,7,7,5,70635,5,6,6,11,7,20220197,,,,,,1,3
43,3,10,7,7,5,70270,5,6,6,11,7,,,,,,,1,3
44,3,5,8,8,2,1404,6,7,,,,,,,,,,1,3
45,3,13,9,,7,,,,,,,,,,,,,1,3
46,3,11,7,7,5,70635,5,6,6,11,7,,20,,,,12,1,3
47,3,,7,7,5,70635,5,6,,,,,,,,,,1,3
48,3,10,7,7,5,70271,5,6,6,13,7,20220197,,261447147,,,,1,3
49,3,10,7,7,5,70635,5,6,6,11,7,,34,262800000,14,5,,1,3
50,3,10,7,7,5,70635,5,6,6,11,7,20220197,21,262255955,11,5,12,1,3
51,3,10,7,7,,68970,5,6,6,11,7,20220000000,35,263000000,,,11,1,3
52,3,10,7,7,5,70635,5,6,,11,7,,21,263000000,15,8,12,1,3
53,3,11,7,7,6,70635,5,6,6,11,7,,36,262250000,15,6,11,1,3
54,3,13,9,,7,,,,,11,7,,37,259320000,17,,13,1,3
55,3,10,7,,5,,5,6,,11,7,,38,262860000,14,6,11,1,3
1,4,14,10,9,8,674663,7,8,,,,,,,,,,1,4
2,4,14,10,9,8,624505,7,8,8,14,9,,39,9040000000,18,9,16,1,4
3,4,14,10,9,8,668438,7,8,,,,123000000,,8730000000,19,10,,1,4
4,4,14,10,9,8,674663,7,8,,14,10,121827000,40,9044402000,20,10,17,1,4
5,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
6,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
7,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
8,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
9,4,14,10,9,8,673214,8,8,8,15,10,121826546,41,9000000000,18,9,,1,4
10,4,14,10,9,8,671219,8,8,8,,,,42,9000000000,19,,,1,4
11,4,14,10,9,8,673214,8,8,8,15,10,,41,,,,16,1,4
12,4,14,10,9,8,673614,7,8,8,15,10,121827000,43,8940000000,21,10,,1,4
13,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
14,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
15,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
16,4,15,10,9,8,673614,7,8,8,15,10,122000000,42,9000000000,18,9,16,1,4
17,4,14,10,,,673614,,,8,16,11,121830000,43,8940000000,,9,16,1,4
18,4,14,10,9,8,673614,7,8,8,15,10,,44,9040000000,22,9,,1,4
19,4,,10,,8,675863,,,8,,,,,,,,,1,4
20,4,14,10,9,8,673614,7,8,,14,10,121800000,45,9040000000,19,10,16,1,4
21,4,14,10,9,8,673214,7,8,8,,,,,,,,,1,4
22,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
23,4,14,10,9,8,582930,7,8,,,,,40,,,,,1,4
24,4,16,11,9,9,,,,8,,,,,,,,,1,4
25,4,14,10,9,8,,7,8,,15,10,,43,9044000000,,,16,1,4
26,4,14,10,9,8,666800,7,8,8,,,121830000,43,8940000000,21,,16,1,4
27,4,14,11,9,8,11480,8,8,8,17,12,,45,8730000000,19,10,16,1,4
28,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
29,4,14,10,9,8,673614,8,8,8,15,10,121830000,41,8940000000,21,9,16,1,4
30,4,14,10,9,8,673614,7,8,8,15,10,121827000,41,9044436480,21,9,16,1,4
31,4,14,10,9,8,673214,8,8,8,15,10,121830000,42,9000000000,19,9,16,1,4
32,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
33,4,14,10,9,8,678969,7,8,8,15,10,120391043,43,8937831000,,10,,1,4
34,4,14,10,9,,675863,7,8,8,15,10,,43,,23,11,16,1,4
35,4,14,10,,8,673614,,,,,,,,,,,,1,4
36,4,14,10,9,8,673614,8,8,9,15,10,,46,,,,18,1,4
37,4,14,10,9,8,673214,8,8,8,15,10,121826546,,,,,,1,4
38,4,14,,9,8,10431,8,8,8,17,12,,45,8730000000,19,10,16,1,4
39,4,14,10,9,8,594689,7,8,8,14,10,,45,,,,16,1,4
40,4,14,10,,8,,,,,,,,43,,,,,1,4
41,4,14,10,9,8,674663,7,8,8,15,10,,,8939600,21,10,,1,4
42,4,14,10,9,8,674263,8,8,8,15,10,121826546,,,,,,1,4
43,4,14,10,9,8,674660,7,8,8,15,10,,,,,,,1,4
44,4,5,12,10,2,70847,9,9,,,,,,,,,,1,4
45,4,14,10,,8,,,,,,,,,,,,,1,4
46,4,14,10,9,8,673214,8,8,8,15,10,,41,,,,16,1,4
47,4,,10,9,8,673614,7,8,,,,,,,,,,1,4
48,4,14,10,9,8,673614,7,8,8,18,10,121826546,,8731308552,,,,1,4
49,4,14,10,9,8,673614,8,8,8,15,10,,47,8900000000,21,10,,1,4
50,4,14,10,9,8,671563,7,8,8,15,10,121826546,47,9044402775,21,10,16,1,4
51,4,14,10,9,8,668338,8,8,8,15,10,1.22E+11,48,8940000000,,,18,1,4
52,4,14,10,9,8,673214,8,8,,15,10,,47,9000000000,18,12,19,1,4
53,4,14,10,9,8,673614,7,8,8,14,10,,41,9040000000,18,9,16,1,4
54,4,14,10,,8,,,,,15,10,,41,9040000000,24,,16,1,4
55,4,14,10,,8,,8,8,,17,10,,49,8940000000,21,9,17,1,4
1,5,17,13,11,3,390774,10,10,,,,,,,,,,1,5
2,5,17,13,12,3,399577,10,10,10,19,13,,50,111020000,,,10,1,5
3,5,17,13,11,3,390774,10,10,,,,33630000,,109640000,,,,1,5
4,5,17,13,11,3,390774,10,10,,19,13,38742000,51,111577000,,,20,1,5
5,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
6,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
7,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
8,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
9,5,17,13,11,3,390774,10,10,10,19,13,38699000,52,111000000,,,,1,5
10,5,17,13,11,3,385757,10,10,10,,,,53,111500000,,,,1,5
11,5,18,13,11,3,390774,10,10,10,19,13,,54,,,,14,1,5
12,5,17,13,11,3,390774,10,10,10,19,13,38699000,55,106040000,,,,1,5
13,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
14,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
15,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
16,5,19,13,11,3,390774,10,10,10,19,13,39000000,56,111000000,1,1,20,1,5
17,5,17,13,,,390774,,,10,20,14,38700000,51,111460000,,,20,1,5
18,5,17,13,11,3,390774,10,10,10,19,13,,57,111450000,,,,1,5
19,5,,13,,3,392295,,,10,,,,,,,,,1,5
20,5,17,13,11,3,390774,10,10,,19,13,38740000,58,111580000,,,20,1,5
21,5,17,13,11,3,385757,10,10,10,,,,,,,,,1,5
22,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
23,5,17,13,12,3,390774,10,10,,,,,51,,,,,1,5
24,5,17,13,11,3,,,,10,,,,,,,,,1,5
25,5,17,13,13,3,,10,10,,19,13,,59,111600000,,,20,1,5
26,5,17,13,13,3,378800,10,10,10,,,38700000,55,110000000,1,,20,1,5
27,5,17,13,11,3,10438,10,10,10,19,13,,60,109640000,,,21,1,5
28,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
29,5,17,13,11,3,390774,10,10,10,19,13,38700000,61,106040000,,,20,1,5
30,5,17,13,11,3,390774,10,10,10,19,13,38699000,51,111453120,,,20,1,5
31,5,17,13,11,3,390774,10,10,10,19,13,38700000,53,111500000,,,14,1,5
32,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
33,5,17,13,11,3,390774,10,10,10,19,13,36858715,62,106153000,,,,1,5
34,5,17,13,13,,392295,10,10,10,19,13,,59,,,1,20,1,5
35,5,17,14,,3,390774,,,,,,,,,,,,1,5
36,5,17,13,11,3,390774,10,10,11,19,13,,63,,,,7,1,5
37,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
38,5,17,,11,3,8917,10,10,10,19,13,,60,109640000,,,21,1,5
39,5,,,,,0,,,,,,,,,,,,1,5
40,5,17,13,,3,,,,,,,,59,,,,,1,5
41,5,17,13,11,3,390774,10,10,10,19,13,,,106000,1,1,,1,5
42,5,17,13,11,3,390774,10,10,10,19,13,38699000,,,,,,1,5
43,5,17,13,11,3,390770,10,10,10,19,13,,,,,,,1,5
44,5,5,15,14,2,191594,11,11,,,,,,,,,,1,5
45,5,20,14,,4,,,,,,,,,,,,,1,5
46,5,17,13,11,3,390774,10,10,10,19,13,,54,,,,14,1,5
47,5,,13,13,3,390774,10,10,,,,,,,,,,1,5
48,5,17,13,11,3,390774,10,10,10,21,13,38699000,,109518170,,,,1,5
49,5,17,13,11,3,390774,10,10,10,19,13,,64,106000000,1,1,,1,5
50,5,17,13,11,3,392295,10,10,10,19,13,38699000,65,111453120,,,14,1,5
51,5,17,13,11,3,381857,10,10,10,19,13,38690000000,66,106000000,,,22,1,5
52,5,17,13,11,3,385757,10,10,,19,13,,65,106000000,,,12,1,5
53,5,17,13,13,3,390774,10,10,10,19,13,,67,111580000,,,20,1,5
54,5,21,14,,4,,,,,19,13,,68,110640000,1,,14,1,5
55,5,17,13,,3,,10,10,,19,13,,55,106040000,1,1,20,1,5
1,6,22,16,15,10,513983,12,12,,,,,,,,,,1,6
2,6,22,16,15,10,506782,12,12,12,22,15,,69,949920000,25,13,23,1,6
3,6,22,16,15,10,506801,12,12,,,,23120000,,961350000,26,14,,1,6
4,6,23,16,15,10,513983,12,12,,23,16,22729000,70,945306000,27,14,23,1,6
5,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
6,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
7,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
8,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
9,6,22,16,15,10,506630,12,12,12,23,16,22729173,71,945000000,25,13,,1,6
10,6,22,16,15,10,506801,12,12,12,,,,71,945300000,26,,,1,6
11,6,24,16,15,10,506630,12,12,12,23,16,,71,,,,24,1,6
12,6,22,16,15,10,510801,12,12,12,23,16,22729000,72,914610000,28,14,,1,6
13,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
14,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
15,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
16,6,25,16,15,10,510801,12,12,12,23,16,23000000,70,945000000,29,15,23,1,6
17,6,22,16,,,510801,,,12,24,17,22730000,72,914660000,,13,23,1,6
18,6,22,16,15,10,510801,12,12,12,23,16,,73,945310000,,13,,1,6
19,6,,16,,10,513983,,,12,,,,,,,,,1,6
21,6,23,16,15,10,506630,12,12,12,,,,,,,,,1,6
22,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
23,6,22,16,15,10,513983,12,12,,,,,70,,,,,1,6
24,6,22,16,15,10,,,,12,,,,,,,,,1,6
25,6,22,16,16,10,,12,12,,23,16,,74,945300000,,,24,1,6
26,6,22,16,16,10,503600,12,13,12,,,22730000,72,910000000,28,,23,1,6
27,6,22,16,15,10,10237,12,12,12,23,16,,75,961350000,26,14,25,1,6
28,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
29,6,22,16,15,10,510801,12,12,12,23,16,22730000,71,914620000,28,13,23,1,6
30,6,22,16,15,10,510801,12,12,12,23,16,22729000,70,945299110,,,23,1,6
31,6,22,16,15,10,504430,12,12,12,23,16,22730000,71,945300000,26,13,24,1,6
32,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
33,6,22,16,15,10,513983,12,12,12,23,16,22102491,76,919243000,,14,,1,6
34,6,22,16,16,,513983,12,12,12,23,16,,74,,30,15,24,1,6
35,6,22,16,,10,510801,,,,,,,,,,,,1,6
36,6,22,16,15,10,510801,12,12,13,23,16,,77,,,,26,1,6
37,6,23,16,15,10,506630,12,12,12,23,16,22729173,,,,,,1,6
38,6,22,,15,10,7055,12,12,12,23,16,,75,961350000,26,14,25,1,6
39,6,,,,,0,,,,,,,,,,,,1,6
40,6,22,16,,10,,,,,,,,74,,,,,1,6
41,6,22,16,15,10,513983,12,12,12,23,16,,,914600,28,14,,1,6
42,6,23,16,15,10,509812,12,12,12,23,16,22729173,,,,,,1,6
43,6,22,16,15,10,510800,12,12,12,23,16,,,,,,,1,6
44,6,5,17,17,2,53866,13,14,,,,,,,,,,1,6
45,6,26,18,,11,,,,,,,,,,,,,1,6
46,6,22,16,15,10,506630,12,12,12,23,16,,71,,,,24,1,6
47,6,,16,16,10,510801,12,13,,,,,,,,,,1,6
48,6,22,16,15,10,510801,12,12,12,25,16,22729173,,908030461,,,,1,6
49,6,22,16,15,10,510801,12,12,12,23,16,,78,914600000,28,14,,1,6
50,6,22,16,15,10,513983,12,12,12,23,16,22729173,79,945306305,28,14,23,1,6
51,6,22,16,15,10,506801,12,12,12,23,16,22720000000,80,915000000,,,26,1,6
52,6,22,16,15,10,506630,12,12,,23,16,,79,915000000,25,2,27,1,6
53,6,22,16,16,10,510801,12,12,12,23,16,,81,945300000,25,13,24,1,6
54,6,26,18,,11,,,,,23,16,,70,949460000,31,,23,1,6
55,6,22,16,,10,,12,12,,23,16,,80,919240000,28,13,26,1,6
1,7,27,19,18,3,251508,14,15,,,,,,,,,,1,7
2,7,27,19,19,3,251508,14,15,14,26,18,,82,1340000000,32,16,28,1,7
3,7,27,19,18,3,245609,14,15,,,,74690000,,1330000000,33,17,,1,7
4,7,27,19,18,3,251508,14,15,,27,19,74997000,83,1344703000,34,17,29,1,7
5,7,27,19,18,3,251508,14,15,14,28,19,74997348,,,,,,1,7
6,7,27,19,18,3,251508,14,15,14,28,19,74997348,,,,,,1,7
7,7,27,19,18,3,251508,14,15,14,28,19,74997348,,,,,,1,7
8,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
9,7,27,19,18,3,245609,14,15,14,28,19,74997348,84,1000000000,35,16,,1,7
10,7,27,19,18,3,245609,14,15,14,,,,85,1300000000,33,,,1,7
11,7,28,19,18,3,245609,14,15,14,28,19,,84,,,,28,1,7
12,7,27,19,18,3,245609,14,15,14,27,19,74997000,30,1330000000,36,17,,1,7
13,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
14,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
15,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
16,7,29,19,18,3,245609,14,15,14,29,19,75000000,,1000000000,35,16,,1,7
17,7,27,19,,,245609,,,14,30,20,75000000,86,1330000000,,16,30,1,7
18,7,27,19,18,3,245609,14,15,14,27,19,,87,1340000000,37,16,,1,7
19,7,,19,,3,251508,,,14,,,,,,,,,1,7
20,7,27,19,18,3,245609,14,15,,27,19,75000000,42,1340000000,33,17,30,1,7
21,7,27,19,18,3,245609,14,15,14,,,,,,,,,1,7
22,7,27,19,18,3,251508,14,15,14,28,19,74997348,,,,,,1,7
23,7,27,19,19,3,245609,14,15,,,,,,,,,,1,7
24,7,27,19,18,3,,,,14,,,,,,,,,1,7
25,7,27,19,18,3,,14,15,,28,19,,88,1345000000,,,31,1,7
26,7,27,19,18,3,213900,14,15,14,,,75000000,86,1330000000,36,,30,1,7
27,7,27,19,18,3,12298,14,15,14,27,19,,89,1330000000,33,17,28,1,7
28,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
29,7,27,19,18,3,245609,14,15,14,27,19,75000000,90,1330000000,36,16,30,1,7
30,7,27,19,,3,245609,14,15,14,28,19,74997000,91,1344696210,36,16,28,1,7
31,7,27,19,18,3,245609,14,15,14,28,19,75000000,85,1300000000,33,16,28,1,7
32,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
33,7,27,19,18,3,251508,14,15,14,27,19,74411417,92,1334197000,,17,,1,7
34,7,27,19,18,,251508,14,15,14,28,19,,88,,38,18,31,1,7
35,7,27,19,,3,245609,,,,,,,,,,,,1,7
36,7,27,19,18,3,245609,14,15,15,29,19,,93,,,,31,1,7
37,7,27,19,18,3,245609,14,15,14,28,19,74997348,,,,,,1,7
