entity_id,website,brand,number,screen_type
ENTITY#062,www.imldirect.it,Philips Electronics,464,LCD Monitor
ENTITY#062,www.jrlinton.co.uk,Philips Electronics,600,Brilliance Brilliance LCD Monitor With Clinical D-image
ENTITY#062,www.kingsfieldcomputers.co.uk,Philips Electronics,764,Monitor
ENTITY#088,www.kingsfieldcomputers.co.uk,iiyama North America; Inc,93,LCD
ENTITY#088,www.makingbuyingeasy.co.uk,iiyama North America; Inc,296,TN+Film
ENTITY#088,www.cleverboxes.com,iiyama North America; Inc,328,TFT Brilliance LCD 16.7 million Colour
ENTITY#088,www.imldirect.it,iiyama North America; Inc,872,Brilliance LCD Monitor
ENTITY#088,www.jrlinton.co.uk,iiyama North America; Inc,1710,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time
ENTITY#103,www.imldirect.it,Hannspree; Inc,169,LCD Monitor
ENTITY#103,www.cleverboxes.com,Hannspree; Inc,402,LED Backlight 16.7 Million Colour
ENTITY#103,www.makingbuyingeasy.co.uk,Hannspree; Inc,459,LED
ENTITY#103,www.kingsfieldcomputers.co.uk,Hannspree; Inc,739,LCD
ENTITY#103,www.jrlinton.co.uk,Hannspree; Inc,1801,HL205DPB Widescreen LCD
ENTITY#128,www.cleverboxes.com,Asus,193,IPS
ENTITY#128,www.kingsfieldcomputers.co.uk,Asus,268,LCD Monitor
ENTITY#128,www.imldirect.it,Asus,682,LCD Monitor
ENTITY#128,www.jrlinton.co.uk,Asus,927,PA249Q Widescreen LCD Monitor
ENTITY#132,www.kingsfieldcomputers.co.uk,Asus,67,LCD Monitor
ENTITY#132,www.makingbuyingeasy.co.uk,Asus,143,IPS
ENTITY#132,www.imldirect.it,Asus,471,LCD Monitor
ENTITY#132,www.cleverboxes.com,Asus,533,AH-IPS 16.7 Million Colour
ENTITY#132,www.jrlinton.co.uk,Asus,829,PB298Q Widescreen Brilliance LCD Monitor
ENTITY#133,www.kingsfieldcomputers.co.uk,Asus,40,LCD Monitor
ENTITY#133,www.makingbuyingeasy.co.uk,Asus,48,IGZO
ENTITY#133,www.cleverboxes.com,Asus,452,Widescreen 1.07 Colour
ENTITY#133,www.imldirect.it,Asus,638,Brilliance LCD Monitor
ENTITY#133,www.jrlinton.co.uk,Asus,1059,PQ321QE Widescreen LCD Monitor
ENTITY#168,www.imldirect.it,Asus,213,LCD Monitor
ENTITY#168,www.makingbuyingeasy.co.uk,Asus,220,LCD
ENTITY#168,www.kingsfieldcomputers.co.uk,Asus,297,Monitor
ENTITY#168,www.cleverboxes.com,Asus,379,Widescreen 16.7 Million Colour
ENTITY#168,www.jrlinton.co.uk,Asus,646,VG278HE Widescreen LCD Monitor
ENTITY#171,www.kingsfieldcomputers.co.uk,Asus,86,LCD Monitor
ENTITY#171,www.cleverboxes.com,Asus,345,16.7 million Colours
ENTITY#171,www.imldirect.it,Asus,863,LCD Monitor
ENTITY#171,www.jrlinton.co.uk,Asus,891,VK278Q Widescreen Monitor
ENTITY#186,www.imldirect.it,Asus,182,Monitor
ENTITY#186,www.cleverboxes.com,Asus,290,LED 16.7 million Colour
ENTITY#186,www.kingsfieldcomputers.co.uk,Asus,387,LCD Monitor
ENTITY#186,www.makingbuyingeasy.co.uk,Asus,467,TN+Film
ENTITY#186,www.jrlinton.co.uk,Asus,905,VW22ATL Widescreen LCD Monitor
ENTITY#190,www.kingsfieldcomputers.co.uk,Asus,337,Monitor
ENTITY#190,www.cleverboxes.com,Asus,398,Widescreen IPS 16.7 Million Colour
ENTITY#190,www.imldirect.it,Asus,408,Brilliance LCD Monitor
ENTITY#190,www.makingbuyingeasy.co.uk,Asus,680,IPS
ENTITY#190,www.jrlinton.co.uk,Asus,870,VX279Q Widescreen LCD Monitor
ENTITY#193,www.cleverboxes.com,iiyama North America; Inc,213,LED Backlight LCD IPS Panel 16.7 million Colour
ENTITY#193,www.imldirect.it,iiyama North America; Inc,336,Brilliance LCD Monitor
ENTITY#193,www.makingbuyingeasy.co.uk,iiyama North America; Inc,362,IPS
ENTITY#193,www.kingsfieldcomputers.co.uk,iiyama North America; Inc,815,Monitor
