source,entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
4,28_1,Philips Electronics,LCD Monitor,16:09,,,4
5,28_1,Philips Electronics,LCD Monitor,16:09,,,5
1,28_2,Philips Electronics,LED,16:10,4.872858177,49.6731007,1
2,28_2,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,4.956908763,63.26740814,1
3,28_2,Philips Electronics,,,,,
4,28_2,Philips Electronics,LCD,16:09,4.730472416,54.29735559,1
5,28_2,Philips Electronics,LCD Monitor,16:08,5.246073179,54.70574169,1
1,28_3,Philips Electronics,LED,16:10,,,1
2,28_3,Philips Electronics,TFT LCD 16.9 Million Colour,16:09,,,2
3,28_3,Philips Electronics,,,,,3
4,28_3,Philips Electronics,LCD,16:09,,,4
5,28_3,Philips Electronics,LCD Monitor,16:08,,,5
1,28_4,Philips Electronics,LED,16:10,,,1
2,28_4,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,,,2
3,28_4,Philips Electronics,,,,,3
4,28_4,Philips Electronics,LCD,16:09,,,4
5,28_4,Philips Electronics,LCD Monitor,16:08,,,5
1,28_5,Philips Electronics,LED,16:10,,,1
2,28_5,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,,,2
3,28_5,Philips Electronics,,,,,3
4,28_5,Philips Electronics,LCDS,16:09,,,4
5,28_5,Philips Electronics,LCD Monitor,16:08,,,5
1,32_1,Philips Electronics,LED,16:09,,,1
2,32_1,Philips Electronics,LCD with LED Backlight 16.7 Million Colour,16:09,,,2
3,32_1,Philips Electronics,Brilliance LCD Monitor,16:09,,,3
4,32_1,Philips Electronics,LCD Monitor,16:09,,,4
5,32_1,Philips Electronics,LCD Monitor,16:09,,,5
1,32_2,Philips Electronics,LED,16:09,4.841456829,64.81924765,1
2,32_2,Philips Electronics,LCD with LED Backlight 16.7 Million,16:09,5.440694411,65.6823886,1
3,32_2,Philips Electronics,"""Brilliance LCD Monitor",16:10,4.945744991,55.09251412,1
4,32_2,Philips Electronics,LCD Monitor,16:09,5.131492181,64.36903567,1
5,32_2,Philips Electronics,LCD Monitor,16:09,5.361206304,57.76748949,1
1,32_3,Philips Electronics,LED,16:09,,,1
2,32_3,Philips Electronics,LCD with LCD Backlight 16.7 Million,16:09,,,2
3,32_3,Philips Electronics,"""Brilliance LCD Monitor",16:10,,,3
4,32_3,Philips Electronics,LCD Monitor,16:09,,,4
5,32_3,Philips Electronics,LCD Monitor,16:09,,,5
1,32_4,Philips Electronics,LED,16:09,,,1
2,32_4,Philips Electronics,LCD with LED Backlight 167 Million,16:09,,,2
3,32_4,Philips Electronics,"""Brilliance LCD Monitor",16:10,,,3
4,32_4,Philips Electronics,LCD Monitor,16:09,,,4
5,32_4,Philips Electronics,LCD Monitor,16:09,,,5
1,32_5,Philips Electronics,LED,16:09,,,1
2,32_5,Philips Electronics,LCD with LED Backlight 16.7 Million,16:09,,,2
3,32_5,Philips Electronics,"""Brilliance LCD Monitor",16:10,,,3
4,32_5,Philips Electronics,LCD Monitor,16:09,,,4
5,32_5,Philips Electronics,LCD Monitor,16:09,,,5
1,33_1,Philips Electronics,TN+Film,16:09,,,1
2,33_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,,,2
3,33_1,Philips Electronics,Brilliance LCD Monitor with SmartImage Game 242G5DJEB 144Hz 24\,16:09,,,3
4,33_1,Philips Electronics,LCD Monitor,16:09,,,4
5,33_1,Philips Electronics,LCD Monitor,16:09,,,5
1,33_2,Philips Electronics,TN+Film,16:09,5.36681041,61.53001296,1
2,33_2,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,5.17804823,56.21933905,1
3,33_2,Philips Electronics,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\,16:10,1.032566619,64.59470548,1
4,33_2,Philips Electronics,LCD Monitor,16:09,0.931607581,65.49638026,1
5,33_2,Philips Electronics,LCD Monitor,16:08,0.99672834,61.0434447,1
1,33_3,Philips Electronics,TN+Film,16:09,,,1
2,33_3,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,,,2
3,33_3,Philips Electronics,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\,16:10,,,3
4,33_3,Philips Electronics,LCD Monitor,16:09,,,4
5,33_3,Philips Electronics,LCD Monitor,16:08,,,5
1,33_4,Philips Electronics,Film,16:09,,,1
2,33_4,Philips Electronics,TFT LCD 167 Million Colour,16:09,,,2
3,33_4,Philips Electronics,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\,16:10,,,3
4,33_4,Philips Electronics,LCD Monitor,16:09,,,4
5,33_4,Philips Electronics,LCD Monitor,16:08,,,5
1,33_5,Philips Electronics,TN+,16:09,,,1
2,33_5,Philips Electronics,TFT LCD 167 Billion Colour,16:09,,,2
3,33_5,Philips Electronics,Brilliance LCD Monitor with Game 242G5DJEB 144Hz,16:10,,,3
4,33_5,Philips Electronics,LCD Monitor,16:09,,,4
5,33_5,Philips Electronics,LCD Monitor,16:08,,,5
1,39_1,Philips Electronics,LED,16:09,,,1
2,39_1,Philips Electronics,LCD Monitor,16:09,,,2
3,39_1,Philips Electronics,273E3LHSB Widescreen LCD Monitor,16:09,,,3
4,39_1,Philips Electronics,LCD Monitor,16:09,,,4
5,39_1,Philips Electronics,LCD Monitor,16:09,,,5
1,39_2,Philips Electronics,LED,16:08,3.568469119,74.03915253,1
2,39_2,Philips Electronics,Monitor,16:08,4.550148483,63.66514511,1
3,39_2,Philips Electronics,273E3LHSB Widescreen LCD Monitor,16:09,4.765482176,70.63484284,1
4,39_2,Philips Electronics,Brilliance LCD Monitor,16:09,4.847046476,64.91696373,1
5,39_2,Philips Electronics,Brilliance LCD Monitor,16:10,4.815275268,62.65750452,1
1,39_3,Philips Electronics,LED,16:08,,,1
2,39_3,Philips Electronics,Monitor,16:08,,,2
3,39_3,Philips Electronics,273E3LHSB Widescreen LCD Monitor,16:09,,,3
4,39_3,Philips Electronics,Brilliance LCD Monitor,16:09,,,4
5,39_3,Philips Electronics,Brilliance LCD Monitor,16:10,,,5
1,39_4,Philips Electronics,LED,16:08,,,1
2,39_4,Philips Electronics,Monitor,16:08,,,2
3,39_4,Philips Electronics,273E3LHSB Widescreen LCD Monitor,16:09,,,3
4,39_4,Philips Electronics,Brilliance LCD Monitor,16:09,,,4
5,39_4,Philips Electronics,Brilliance LCD Monitor,16:10,,,5
1,39_5,Philips Electronics,LEDS,16:08,,,1
2,39_5,Philips Electronics,Monitor,16:08,,,2
3,39_5,Philips Electronics,73E3LHSB Widescreen LCD Monitor,16:09,,,3
4,39_5,Philips Electronics,Brilliance LCD Monitor,16:09,,,4
5,39_5,Philips Electronics,Brilliance LED Monitor,16:10,,,5
1,40_1,Philips Electronics,LCD/TFT,16:09,,,1
2,40_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,,,2
3,40_1,Philips Electronics,,,,,3
4,40_1,Philips Electronics,LCD Monitor,16:09,,,4
5,40_1,Philips Electronics,LCD Monitor,16:09,,,5
1,40_2,Philips Electronics,TFT/LCD,16:09,4.819695583,74.99737969,1
2,40_2,Philips Electronics,TFT LCD Million Colour,16:09,5.057868627,66.30829899,1
3,40_2,Philips Electronics,,,,,
4,40_2,Philips Electronics,LCD,16:09,4.609994372,67.90901729,1
5,40_2,Philips Electronics,Monitor,16:10,4.820873193,72.86655665,1
1,40_3,Philips Electronics,TFT/LCD,16:09,,,1
2,40_3,Philips Electronics,TFT LCD Million Colour,16:09,,,2
3,40_3,Philips Electronics,,,,,3
4,40_3,Philips Electronics,LCD,16:09,,,4
5,40_3,Philips Electronics,Monitor,16:10,,,5
1,40_4,Philips Electronics,TFT/LCD,16:09,,,1
2,40_4,Philips Electronics,TFT LCD Million Colour,16:09,,,2
3,40_4,Philips Electronics,,,,,3
4,40_4,Philips Electronics,LCD,16:09,,,4
5,40_4,Philips Electronics,Monitor,16:10,,,5
1,40_5,Philips Electronics,TFT/LCD,16:09,,,1
2,40_5,Philips Electronics,TFT LCD Million Colour,16:09,,,2
3,40_5,Philips Electronics,,,,,3
4,40_5,Philips Electronics,LCD,16:09,,,4
5,40_5,Philips Electronics,MonitorS,16:10,,,5
1,41_1,Philips Electronics,LCD/TFT,16:09,,,1
2,41_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,,,2
3,41_1,Philips Electronics,LCD Monitor with SmartControl Lite,16:09,,,3
4,41_1,Philips Electronics,LCD Monitor,16:09,,,4
5,41_1,Philips Electronics,LCD Monitor,16:09,,,5
1,41_2,Philips Electronics,TFT/LCD,16:09,4.753762385,61.94106206,1
2,41_2,Philips Electronics,TFT LCD 16.7 Million Colour,16:08,4.894831309,70.21406467,1
3,41_2,Philips Electronics,Brilliance LCD Monitor with SmartControl Lite,16:09,4.943369621,68.81979478,1
4,41_2,Philips Electronics,LCD,16:10,5.174877692,62.03439559,1
5,41_2,Philips Electronics,LCD Monitor,16:08,5.027051079,69.33946034,1
1,41_3,Philips Electronics,TFT/LCD,16:09,,,1
