Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
66,663,363,3555,119,15475090,3747,3653,2541,4733,4411,,389,49600000000,119,71,302,5,4066
67,261,961,4121,292,700119,3748,3654,2542,4736,204,,5212,4040000000,,,306,5,4067
68,434,5501,4122,22,134143,3749,47,45,261,206,,2,96280000,,,310,5,4068
69,182,227,194,22,63000,151,153,140,268,210,,470,241890000,20,75,91,5,4069
70,608,5503,4124,3,715309,1267,3655,2543,2131,213,,2,3660000000,16,35,29,5,4070
71,1023,743,535,55,452762,44,902,1866,276,216,,2,246220000,,,323,5,4071
72,782,3266,4126,116,3704156,369,522,2544,280,1303,,1301,6190000000,,,322,5,4072
73,482,5505,4123,34,127650,1700,361,2545,283,222,,786,145020000,,,329,5,4073
74,492,4288,1958,107,943195,1257,1277,1482,286,4414,,2,590850000,,,148,5,4074
75,715,5203,4127,107,114633,2973,2821,1886,289,227,,5293,306730000,,,1,5,4075
76,347,3313,881,52,5019048,120,2827,2546,292,229,,3330,29010000000,,,335,5,4076
77,338,5508,302,31,240424,710,3656,2547,296,231,,5296,1480000000,195,83,225,5,4077
78,195,3401,444,109,12603464,2591,3657,105,299,235,,5299,7860000000,,,15,5,4078
79,357,214,4130,179,70584538,143,2421,2548,3568,2924,,1394,87900000000,592,75,232,5,4079
80,219,2276,4131,97,972472,1129,1731,1009,306,240,,2,1360000000,,,74,5,4080
81,115,5516,1754,115,174363,3754,1460,687,310,242,,5301,1270000000,,,120,5,4081
82,90,105,2466,51,28964,181,616,70,314,244,,956,157280000,209,75,349,5,4082
83,127,3104,3496,106,549581,1799,3635,222,4742,973,,5044,593140000,162,20,199,5,4083
84,91,1926,394,49,1363054,3228,1809,444,321,157,,908,1980000000,,,231,5,4084
85,753,660,4132,44,677720,3755,3658,2549,327,252,,835,1580000000,,,49,5,4085
86,447,5517,1166,100,131619,3756,1404,2550,331,254,,2534,247410000,,,158,5,4086
87,,1705,4133,,28641,3757,3659,1879,335,256,,1016,52100000,655,26,241,5,4087
88,434,5518,3161,50,2805106,3758,3660,1508,4743,259,,3280,10780000000,181,86,346,5,4088
89,262,294,2181,5,877992,150,3662,1295,346,2826,,2,300980000,,,357,5,4089
90,391,5521,4136,319,2955973,3761,3664,2551,4744,4416,,909,31090000000,217,30,361,5,4091
91,391,5521,4136,319,2955973,3761,3664,2551,4744,4416,,909,31090000000,217,30,361,5,4091
92,1189,789,1734,428,1738171,459,3665,2552,358,213,,3816,828890000,,,162,5,4092
93,306,2883,3293,103,102055,3762,2488,749,100,3604,,3297,435270000,,,368,5,4093
94,266,5524,4139,128,2239755,2779,3666,2553,366,4418,,1556,15300000000,699,92,159,5,4094
95,369,846,778,22,343983,2948,1331,2269,4747,1764,,1032,658010000,,,64,5,4095
96,256,5526,4140,468,89183,3763,3667,2554,375,287,,839,740030000,,,371,5,4096
97,400,317,3553,32,1890339,3764,3669,2555,380,289,,1117,4760000000,228,95,109,5,4097
98,444,4788,403,3,1285825,29,660,25,385,2074,,57,255770000,385,80,336,5,4098
99,668,5458,930,78,63177,3765,3670,2556,3584,299,,6463,454620000,245,24,162,5,4099
100,70,28,1782,74,1554507,3766,3671,2557,397,2116,,1072,7230000000,129,52,26,5,4100
